row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty TNHH Một thành viên Máy Xây dựng Matec,Công ty TNHH Một thành viên Máy Xây dựng Matec,Công ty TNHH Một thành viên Máy Xây dựng Matec,Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công,534.163.742.633 273.938.662.845 257.863.392 -,555.171.190.486 181.682.340.303 265.530.992 252.462.500,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,383.396.059.862 29.703.134.964 13.000.000.000 - -,101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,,,
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Cho vay Lãi cho vay,252.834.803.567 13.698.467.098,- -,,,
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ Khác,158.317.193.912 727.290.061,46.327.108.084 -,,,
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Lãi cho vay Thuê văn phòng,58.959.810.790 17.056.893.859,52.886.160.417 17.776.178.565,,,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí thầu phụ Thuê vật tư Thu nhập từ thanh lý phế liệu Mua vật tư Thu nhập từ thanh lý tài sản cố định,56.849.822.930 33.980.154.370 14.808.672.899 7.299.579.373 3.971.473.516,117.222.085.691 26.434.164.145 573.902.624 1.868.349.606 9.968.096.000,,,
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt > Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Cung cấp dịch vụ xây dựng,35.775.426.683,38.076.580.137,,35775426683.0,38076580137.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí thầu phụ Khác,20.877.746.615 3.714.865.638,6.986.814.929 -,,,
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Trang trí Nội thất Onwa Tech > Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Mua vật tư Chi phí thầu phụ,10.200.520.000 5.826.277.436,- 23.621.826.444,,,-23621826444.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Mua vật tư xây dựng Chi phí thầu phụ Chi phí thuê kho Khác,6.844.085.954 472.467.876 105.915.030 148.106.000,6.013.724.120 (1.148.110.739) - -,,,
