row_label_raw,row_label_full,Công ty Cổ phần Tiến PhátSanyo Homes,Dịch vụ xây dựng,429.436.703,27.638.291.503,numeric__Dịch vụ xây dựng,numeric__429.436.703,numeric__27.638.291.503
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,
Công ty Cổ phần Nhà HòaBình,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Nhà HòaBình,Công ty Cổ phần Nhà HòaBình,Cho vay,580.723.728.950,521.763.918.160,,580723728950.0,521763918160.0
Công ty Cổ phần Đầu tư Địaốc Tiến Phát,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Địaốc Tiến Phát,Công ty Cổ phần Đầu tư Địaốc Tiến Phát,Cho vay,522.703.603.628,109.604.408.802,,522703603628.0,109604408802.0
Công ty TNHH Tiến PhátĐông Bắc,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Tiến PhátĐông Bắc,Công ty TNHH Tiến PhátĐông Bắc,Cho vay,266.533.270.665,-,,266533270665.0,
Công ty TNHH Sài Gòn NgàyMới,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Sài Gòn NgàyMới,Công ty TNHH Sài Gòn NgàyMới,Cho vay,30.847.839.632,27.955.608.048,,30847839632.0,27955608048.0
Công ty Cổ phần Đầu tư vàNăng lượng Tái tạo Hòa Bình,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư vàNăng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư vàNăng lượng Tái tạo Hòa Bình,Cho vay,7.792.072.648,7.013.142.143,,7792072648.0,7013142143.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,1.408.600.515.523,666.337.077.153,,1408600515523.0,666337077153.0
