row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5)
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Dịch vụ xây dựng,91.320.044.449,52.530.112.028,,91320044449.0,52530112028.0
Tiến Phát Sanyo Homes,Tiến Phát Sanyo Homes,Tiến Phát Sanyo Homes,,,,,,
Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Công ty TNHH Một thành viên,Thuê máy móc thiết bị,,,,,
Máy Xây dựng Matec,Công ty TNHH Một thành viên > Máy Xây dựng Matec,Máy Xây dựng Matec,,9.536.819.971,1.493.143.137,,9536819971.0,1493143137.0
TỔNG CỘNG,Công ty TNHH Một thành viên > TỔNG CỘNG,TỔNG CỘNG,,100.856.864.420,54.023.255.165,,100856864420.0,54023255165.0
