row_label_raw,row_label_full,Ông Nguyễn Tường Bảo,Chữ tịch,col_2,numeric__Chữ tịch,numeric__col_2
Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Thành viên độc lập,Bổ nhiệm ngày 30 tháng 6 năm 2023,,
Ông Dương Văn Hùng,Ông Dương Văn Hùng,Ông Dương Văn Hùng,Thành viên,Miễn nhiệm ngày 27 tháng 6 năm 2023,,
Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Thành viên,Miễn nhiệm ngày 27 tháng 6 năm 2023,,
