row_label_raw,row_label_full,Chi phí thuế TNDN năm nay > Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Năm nay > -,VNDNăm trước > 33.991.773.753 > 2.479.615.762,numeric__Năm nay > -,numeric__VNDNăm trước > 33.991.773.753 > 2.479.615.762
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,36.471.389.515,,36471389515.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,174.755.334,216.070.000,174755334.0,216070000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,174.755.334,36.687.459.515,174755334.0,36687459515.0
