row_label_raw,row_label_full,Ông Lê Viết Hải,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Phó Chủ tịch,Bổ nhiệm ngày 9 tháng 8 năm 2022,,
Ông Lê Văn Nam,Ông Lê Văn Nam,Ông Lê Văn Nam,Thành viên,Bổ nhiệm ngày 27 tháng 6 năm 2023,,
Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Thành viên độc lập,Bổ nhiệm ngày 27 tháng 6 năm 2023,,
Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Thành viên độc lập,,,
Bà Nguyễn Thị Lượt,Bà Nguyễn Thị Lượt,Bà Nguyễn Thị Lượt,Thành viên không điều hành,Bổ nhiệm ngày 27 tháng 6 năm 2023,,
Ông Lê Quốc Duy,Ông Lê Quốc Duy,Ông Lê Quốc Duy,Thành viên,Miễn nhiệm ngày 27 tháng 6 năm 2023,,
Ông David Martin Ruiz,Ông David Martin Ruiz,Ông David Martin Ruiz,Thành viên,Bổ nhiệm ngày 25 tháng 4 năm 2022Miễn nhiệm ngày 27 tháng 6 năm 2023,,
Ông Phan Ngọc Thạnh,Ông Phan Ngọc Thạnh,Ông Phan Ngọc Thạnh,Thành viên,Miễn nhiệm ngày 25 tháng 4 năm 2022,,
Ông Park Seok Bae,Ông Park Seok Bae,Ông Park Seok Bae,Thành viên,Miễn nhiệm ngày 25 tháng 4 năm 2022,,
Ông Dương Văn Hùng,Ông Dương Văn Hùng,Ông Dương Văn Hùng,Thành viên độc lập,Miễn nhiệm ngày 27 tháng 6 năm 2023,,
Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Thành viên độc lập,Miễn nhiệm ngày 27 tháng 6 năm 2023,,
Ông Albert Antoine,Ông Albert Antoine,Ông Albert Antoine,Thành viên không điều hành,Bổ nhiệm ngày 25 tháng 4 năm 2022Miễn nhiệm ngày 27 tháng 6 năm 2023,,
