row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 83.332.054.588,Số phải nộp trong năm > 210.954.658.603,Số đã nộp trong năm > (182.097.311.564),VND Số cuối năm > 112.189.401.627,numeric__Số đầu năm > 83.332.054.588,numeric__Số phải nộp trong năm > 210.954.658.603,numeric__Số đã nộp trong năm > (182.097.311.564),numeric__VND Số cuối năm > 112.189.401.627
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.494.327.308,58.049.211.230,(52.729.314.672),6.814.223.866,1494327308.0,58049211230.0,-52729314672.0,6814223866.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,33.991.773.753,-,(33.991.773.753),-,33991773753.0,,-33991773753.0,
Khác,Khác,Khác,-,3.000.000,(3.000.000),-,,3000000.0,-3000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,118.818.155.649,269.006.869.833,(268.821.399.989),119.003.625.493,118818155649.0,269006869833.0,-268821399989.0,119003625493.0
