row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Lê Việt Hải và bà Bùi Ngọc Mai,Ông Lê Việt Hải và bà Bùi Ngọc Mai,Ông Lê Việt Hải và bà Bùi Ngọc Mai,Tạm ứng đề mua đất động sản,120.000.000.000,-,,120000000000.0,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Phải thu liên quan đến dự án,,,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Thạch Bàn Lakeside,67.206.743.241,67.206.743.241,,67206743241.0,67206743241.0
Nguyễn Trung Thành (từ nhiệm ngày 18 tháng 5 năm 2023),Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Nguyễn Trung Thành (từ nhiệm ngày 18 tháng 5 năm 2023),Nguyễn Trung Thành (từ nhiệm ngày 18 tháng 5 năm 2023),Tạm ứng công tác,20.000.000.000,-,,20000000000.0,
Ban lãnh đạo,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Ban lãnh đạo,Ban lãnh đạo,Tạm ứng lương,15.685.179.382,24.335.309.099,,15685179382.0,24335309099.0
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Lãi phạt chậm thanh toán,7.413.092.247,7.413.092.247,,7413092247.0,7413092247.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí trả hộ,726.180.100,10.973.526.010,,726180100.0,10973526010.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Lãi cho vay,1.202.801.315,-,,1202801315.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Cổ tức phải thu,817.042.821,817.042.821,,817042821.0,817042821.0
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Ký quỹ thuê văn phòng,2.740.524.657,2.740.524.657,,2740524657.0,2740524657.0
