row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,39.790.252.840,19.310.767.608,1.216.005.358,60.317.025.806,39790252840.0,19310767608.0,1216005358.0,60317025806.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,16.251.497.608,1.216.005.358,17.467.502.966,,16251497608.0,1216005358.0,17467502966.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,15.524.865.591,1.216.005.358,16.740.870.949,,15524865591.0,1216005358.0,16740870949.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,2.593.324.419,-,2.593.324.419,,2593324419.0,,2593324419.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,18.118.190.010,1.216.005.358,19.334.195.368,,18118190010.0,1216005358.0,19334195368.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.790.252.840,3.785.902.017,-,43.576.154.857,39790252840.0,3785902017.0,,43576154857.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,1.192.577.598,-,40.982.830.438,39790252840.0,1192577598.0,,40982830438.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),39.933.485.639,-,-,39.933.485.639,39933485639.0,,,39933485639.0
