row_label_raw,row_label_full,Ngắn hạnĐầu tư nằm giữ đến ngày đáo hạn(Thuyết minh số 15.1) > Dài hạnĐầu tư vào các công ty con(Thuyết minh số 15.2) > Đầu tư vào các công ty liên kết(Thuyết minh số 15.3) > Đầu tư góp vốn vào các đơn vị khác(Thuyết minh số 15.4) > Đầu tư nằm giữ đến ngày đáo hạn(Thuyết minh số 15.1),Số cuối năm > 20.000.000.000 > 922.005.359.051 > 735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000,VND Số đầu năm > 60.000.000.000 > 922.005.359.051 > 735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000,numeric__Số cuối năm > 20.000.000.000 > 922.005.359.051 > 735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000,numeric__VND Số đầu năm > 60.000.000.000 > 922.005.359.051 > 735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,942.005.359.051,982.005.359.051,942005359051.0,982005359051.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(490.480.829.938),(260.613.948.612),-490480829938.0,-260613948612.0
Trong đó:Dự phòng đầu tư vào các công ty con,Trong đó:Dự phòng đầu tư vào các công ty con,Trong đó:Dự phòng đầu tư vào các công ty con,(467.692.915.262),(242.823.355.336),-467692915262.0,-242823355336.0
Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,(6.320.857.859),(6.798.078.112),-6320857859.0,-6798078112.0
Dự phòng đầu tư vào các đơn vị khác,Dự phòng đầu tư vào các đơn vị khác,Dự phòng đầu tư vào các đơn vị khác,(16.467.056.817),(10.992.515.164),-16467056817.0,-10992515164.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,451.524.529.113,721.391.410.439,451524529113.0,721391410439.0
