row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 16),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 16),VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 16),numeric__VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 16)
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Thuế máy móc,113.963.969.629,132.699.024.924,,113963969629.0,132699024924.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ,40.919.241.098,10.717.819,,40919241098.0,10717819.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí thầu phụ,36.658.224.002,20.542.604.019,,36658224002.0,20542604019.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Chi phí thầu phụ,12.862.108.207,23.278.732.819,,12862108207.0,23278732819.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Chi phí thầu phụ,6.003.972.446,6.226.425.653,,6003972446.0,6226425653.0
Công ty Cổ Phần Trang Trí Nội Thất Onwa Tech,Công ty Cổ Phần Trang Trí Nội Thất Onwa Tech,Công ty Cổ Phần Trang Trí Nội Thất Onwa Tech,Chi phí thầu phụ,5.220.086.092,293.892.492,,5220086092.0,293892492.0
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Mua vật tư xây dựng,2.473.948.884,2.473.948.884,,2473948884.0,2473948884.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Chi phí thầu phụ,2.345.466.912,3.124.263.983,,2345466912.0,3124263983.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí thầu phụ,994.075.040,994.075.040,,994075040.0,994075040.0
Chi Nhánh Công ty TNHH Sơn Hòa Bình Tại Hưng Yên,Chi Nhánh Công ty TNHH Sơn Hòa Bình Tại Hưng Yên,Chi Nhánh Công ty TNHH Sơn Hòa Bình Tại Hưng Yên,Chi phí thầu phụ,729.562.475,-,,729562475.0,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Chi phí thầu phụ,-,7.029.500.000,,,7029500000.0
