row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành,Năm nay > 9.243.857.275.943 > 4.546.681.230.798,Năm trước > 9.760.191.457.298 > 1.026.859.168.018,numeric__Năm nay > 9.243.857.275.943 > 4.546.681.230.798,numeric__Năm trước > 9.760.191.457.298 > 1.026.859.168.018
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,13.790.538.506.741,10.787.050.625.316,13790538506741.0,10787050625316.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,13.370.002.234.569,16.482.373.920.869,13370002234569.0,16482373920869.0
