row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.124.410.448,1.746.606.140.649,56.310.132.524,18.944.760.349,1.826.985.443.970,5124410448.0,1746606140649.0,56310132524.0,18944760349.0,1826985443970.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,229.383.618.485,-,637.834.999,230.021.453.484,,229383618485.0,,637834999.0,230021453484.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.974.468.728,854.036.181,-,3.828.504.909,,2974468728.0,854036181.0,,3828504909.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(77.393.046.609),-,(290.160.909),(77.683.207.518),,-77393046609.0,,-290160909.0,-77683207518.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.124.410.448,1.901.571.181.253,57.164.168.705,19.292.434.439,1.983.152.194.845,5124410448.0,1901571181253.0,57164168705.0,19292434439.0,1983152194845.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,882.795.613,214.849.801.681,8.929.862.957,13.930.536.117,238.592.996.368,882795613.0,214849801681.0,8929862957.0,13930536117.0,238592996368.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,3.248.081.822,1.039.857.199.233,33.144.142.717,16.429.233.651,1.092.678.657.423,3248081822.0,1039857199233.0,33144142717.0,16429233651.0,1092678657423.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,705.753.395,196.524.536.769,5.496.674.925,1.264.058.711,203.991.023.800,705753395.0,196524536769.0,5496674925.0,1264058711.0,203991023800.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(59.437.889.239),-,(223.581.038),(59.661.470.277),,-59437889239.0,,-223581038.0,-59661470277.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,3.953.835.217,1.176.943.846.763,38.640.817.642,17.469.711.324,1.237.008.210.946,3953835217.0,1176943846763.0,38640817642.0,17469711324.0,1237008210946.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.876.328.626,706.748.941.416,23.165.989.807,2.515.526.698,734.306.786.547,1876328626.0,706748941416.0,23165989807.0,2515526698.0,734306786547.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.170.575.231,724.627.334.490,18.523.351.063,1.822.723.115,746.143.983.899,1170575231.0,724627334490.0,18523351063.0,1822723115.0,746143983899.0
"Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21.1, 21.3 và 21.4)","Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21.1, 21.3 và 21.4)","Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21.1, 21.3 và 21.4)",-,182.329.457.232,-,-,182.329.457.232,,182329457232.0,,,182329457232.0
