row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6)
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Tạm ứng,107.848.017.886,107.394.049.079,,107848017886.0,107394049079.0
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Tạm ứng mua căn hộ,93.822.331.459,93.822.331.459,,93822331459.0,93822331459.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Chi phí thầu phụ,59.856.684.209,57.495.728.446,,59856684209.0,57495728446.0
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Tạm ứng,5.970.500.000,-,,5970500000.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Chi phí thầu phụ,1.025.386.340,2.148.559.847,,1025386340.0,2148559847.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Tạm ứng,762.000.000,-,,762000000.0,
Công ty Cổ Phần Kỹ Thuật JESCO Hòa Bình,Công ty Cổ Phần Kỹ Thuật JESCO Hòa Bình,Công ty Cổ Phần Kỹ Thuật JESCO Hòa Bình,Chi phí thầu phụ,-,7.812.916.245,,,7812916245.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí thầu phụ,-,1.464.392.959,,,1464392959.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,269.284.919.894,270.137.978.035,,269284919894.0,270137978035.0
