row_label_raw,row_label_full,col_0,col_1,Miền BắcTriệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Miền BắcTriệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,41.677.897,7.261.276,20.723.887,(38.468.122),31.194.938,,41677897.0,7261276.0,20723887.0,-38468122.0,31194938.0
2,2,2,Chi phí lãi và các chi phí tương tự,(35.024.311),(5.041.486),(14.292.240),38.468.122,(15.889.915),,-35024311.0,-5041486.0,-14292240.0,38468122.0,-15889915.0
I,I,I,Thu nhập lãi thuần,6.653.586,2.219.790,6.431.647,-,15.305.023,,6653586.0,2219790.0,6431647.0,,15305023.0
3,3,3,Thu nhập từ hoạt động dịch vụ,1.635.316,306.636,1.335.822,-,3.277.774,,1635316.0,306636.0,1335822.0,,3277774.0
4,4,4,Chi phí từ hoạt động dịch vụ,(1.550.521),(19.979),(61.864),-,(1.632.364),,-1550521.0,-19979.0,-61864.0,,-1632364.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,84.795,286.657,1.273.958,-,1.645.410,,84795.0,286657.0,1273958.0,,1645410.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.188.419,58.430,324.551,-,1.571.400,,1188419.0,58430.0,324551.0,,1571400.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,175.287,-,-,-,175.287,,175287.0,,,,175287.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,179.268,-,-,-,179.268,,179268.0,,,,179268.0
5,5,5,Thu nhập từ hoạt động khác,891.974,309.325,934.500,-,2.135.799,,891974.0,309325.0,934500.0,,2135799.0
6,6,6,Chi phí hoạt động khác,(105.610),(31.548),(93.232),-,(230.390),,-105610.0,-31548.0,-93232.0,,-230390.0
VI,VI,VI,Lãi thuần từ hoạt động khác,786.364,277.777,841.268,-,1.905.409,,786364.0,277777.0,841268.0,,1905409.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",83.479,-,-,-,83.479,,83479.0,,,,83479.0
,,,Tổng thu nhập hoạt động,9.151.198,2.842.654,8.871.424,-,20.865.276,,9151198.0,2842654.0,8871424.0,,20865276.0
VIII,VIII,VIII,Tổng chi phí hoạt động,(4.989.754),(890.075),(2.281.418),-,(8.161.247),,-4989754.0,-890075.0,-2281418.0,,-8161247.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.161.444,1.952.579,6.590.006,-,12.704.029,,4161444.0,1952579.0,6590006.0,,12704029.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(1.446.034),(569.324),(4.034.372),-,(6.049.730),,-1446034.0,-569324.0,-4034372.0,,-6049730.0
XI,XI,XI,Tổng lợi nhuận trước thuế,2.715.410,1.383.255,2.555.634,-,6.654.299,,2715410.0,1383255.0,2555634.0,,6654299.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,(579.266),(304.316),(562.240),-,(1.445.822),,-579266.0,-304316.0,-562240.0,,-1445822.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,(579.266),(304.316),(562.240),-,(1.445.822),,-579266.0,-304316.0,-562240.0,,-1445822.0
XIII,XIII,XIII,Lợi nhuận sau thuế,2.136.144,1.078.939,1.993.394,-,5.208.477,,2136144.0,1078939.0,1993394.0,,5208477.0
