row_label_raw,row_label_full,Các chỉ tiêu ngoài Bảng cân đối kế toán,31/12/2014Triệu VND(Trình bày lại theoThông tư 49) > Các chỉ tiêu ngoài Bảng cân đối kế toán,31/12/2014Triệu VND(Số theo báo cáo KTNN) > Các chỉ tiêu ngoài Bảng cân đối kế toán,Nguyên nhân > Các chỉ tiêu ngoài Bảng cân đối kế toán,numeric__31/12/2014Triệu VND(Trình bày lại theoThông tư 49) > Các chỉ tiêu ngoài Bảng cân đối kế toán,numeric__31/12/2014Triệu VND(Số theo báo cáo KTNN) > Các chỉ tiêu ngoài Bảng cân đối kế toán,numeric__Nguyên nhân > Các chỉ tiêu ngoài Bảng cân đối kế toán
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,11.078.553,Không trình bày,Trình bày,11078553.0,,
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,3.179.688,Không trình bày,sung theo,3179688.0,,
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,7.898.865,Không trình bày,Thông tư 49,7898865.0,,
