row_label_raw,row_label_full,Dự phòng chung cho vay các tổ chức tín dụng khác Hoàn nhập dự phòng (xem Thuyết minh 6) > Dự phòng cụ thể cho tiền gửi tại và cho vay các tổ chức tín dụng khác Hoàn nhập/(Trích lập) dự phòng (xem Thuyết minh 6) > Dự phòng chung cho vay khách hàng (Trích lập) dự phòng (xem Thuyết minh 9) > Dự phòng cụ thể cho vay khách hàng (Trích lập) dự phòng (xem Thuyết minh 9) > Dự phòng chung cho chứng khoán doanh nghiệp chưa niêm yết (Trích lập) dự phòng (xem Thuyết minh 10a và 10b) > Dự phòng cụ thể cho chứng khoán doanh nghiệp chưa niêm yết (Trích lập) dự phòng (xem Thuyết minh 10a và 10c),Năm kết thúc31/12/2015Triệu VND > - > 22.877 > (437.663) > (5.105.194) > (54.000) > (475.750),Năm kết thúc31/12/2014Triệu VND(Trình bày lại) > 65.989 > (15.743) > (337.148) > (4.684.678) > (38.616) > (190.718),numeric__Năm kết thúc31/12/2015Triệu VND > - > 22.877 > (437.663) > (5.105.194) > (54.000) > (475.750),numeric__Năm kết thúc31/12/2014Triệu VND(Trình bày lại) > 65.989 > (15.743) > (337.148) > (4.684.678) > (38.616) > (190.718)
Dự phòng cho công nợ tiềm ăn và các cam kết ngoại bảng Hoàn nhập dự phòng,Dự phòng cho công nợ tiềm ăn và các cam kết ngoại bảng Hoàn nhập dự phòng,Dự phòng cho công nợ tiềm ăn và các cam kết ngoại bảng Hoàn nhập dự phòng,-,628.250,,628250.0
,,,(6.049.730),(4.572.664),-6049730.0,-4572664.0
