row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải, truyềnđaldTriệu VND",Tài sản hữu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải, truyềnđaldTriệu VND",numeric__Tài sản hữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu kỳ (trình bày lại),Nguyên giá > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),1.915.898,2.900.597,553.409,528.011,5.897.915,1915898.0,2900597.0,553409.0,528011.0,5897915.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,655.238,202.271,117.687,160.167,1.135.363,655238.0,202271.0,117687.0,160167.0,1135363.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,640.089,200.860,117.687,150.129,1.108.765,640089.0,200860.0,117687.0,150129.0,1108765.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,15.149,1.411,-,10.038,26.598,15149.0,1411.0,,10038.0,26598.0
Giảm trong kỳ,Nguyên giá > Giảm trong kỳ,Giảm trong kỳ,(6.289),(25.940),(5.593),(7.902),(45.724),-6289.0,-25940.0,-5593.0,-7902.0,-45724.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.945),(25.919),(5.593),(7.688),(42.145),-2945.0,-25919.0,-5593.0,-7688.0,-42145.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(3.344),(21),-,(214),(3.579),-3344.0,-21.0,,-214.0,-3579.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,2.564.847,3.076.928,665.503,680.276,6.987.554,2564847.0,3076928.0,665503.0,680276.0,6987554.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu kỳ (trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),283.559,2.386.218,356.972,286.077,3.312.826,283559.0,2386218.0,356972.0,286077.0,3312826.0
Tăng trong kỳ,Giá trị hao mòn lũy kế > Tăng trong kỳ,Tăng trong kỳ,94.991,292.859,60.374,117.584,565.808,94991.0,292859.0,60374.0,117584.0,565808.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,93.732,292.799,60.374,117.584,564.489,93732.0,292799.0,60374.0,117584.0,564489.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.259,60,-,-,1.319,1259.0,60.0,,,1319.0
Giảm trong kỳ,Giá trị hao mòn lũy kế > Giảm trong kỳ,Giảm trong kỳ,(1.306),(25.911),(5.594),(7.918),(40.729),-1306.0,-25911.0,-5594.0,-7918.0,-40729.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.306),(25.911),(5.594),(7.661),(40.472),-1306.0,-25911.0,-5594.0,-7661.0,-40472.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,-,(257),(257),,,,-257.0,-257.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,377.244,2.653.166,411.752,395.743,3.837.905,377244.0,2653166.0,411752.0,395743.0,3837905.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu kỳ (trình bày lại),Giá trị còn lại > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),1.632.339,514.379,196.437,241.934,2.585.089,1632339.0,514379.0,196437.0,241934.0,2585089.0
Số dư cuối kỳ,Giá trị còn lại > Số dư cuối kỳ,Số dư cuối kỳ,2.187.603,423.762,253.751,284.533,3.149.649,2187603.0,423762.0,253751.0,284533.0,3149649.0
