row_label_raw,row_label_full,col_0,31/12/2015Triệu VND,31/12/2014Triệu VND(Trình bày lại),numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND(Trình bày lại)
Doanh nghiệp Nhà nước,Doanh nghiệp Nhà nước,Doanh nghiệp Nhà nước,90.159.335,89.832.440,90159335.0,89832440.0
Công ty trách nhiệm hữu hạn,Công ty trách nhiệm hữu hạn,Công ty trách nhiệm hữu hạn,81.133.664,67.809.257,81133664.0,67809257.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,25.944.432,17.729.968,25944432.0,17729968.0
Hợp tác xã và công ty tư nhân,Hợp tác xã và công ty tư nhân,Hợp tác xã và công ty tư nhân,7.712.731,6.048.203,7712731.0,6048203.0
Cá nhân,Cá nhân,Cá nhân,77.827.285,51.740.135,77827285.0,51740135.0
Khác,Khác,Khác,101.866.207,88.161.596,101866207.0,88161596.0
,,,384.643.654,321.321.599,384643654.0,321321599.0
Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,,
,,,31/12/2015Triệu VND,31/12/2014Triệu VND(Trình bày lại),,
Xây dựng,Phân tích dư nợ cho vay theo ngành như sau: > Xây dựng,Xây dựng,21.093.479,16.177.383,21093479.0,16177383.0
"Sản xuất và phân phối điện, khí đốt và nước","Phân tích dư nợ cho vay theo ngành như sau: > Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước",27.270.183,23.622.314,27270183.0,23622314.0
Sản xuất và gia công chế biến,Phân tích dư nợ cho vay theo ngành như sau: > Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,121.052.108,110.505.098,121052108.0,110505098.0
Khai khoáng,Phân tích dư nợ cho vay theo ngành như sau: > Khai khoáng,Khai khoáng,17.375.028,13.880.734,17375028.0,13880734.0
"Nông, lâm, thủy hải sản","Phân tích dư nợ cho vay theo ngành như sau: > Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản",10.761.131,7.558.882,10761131.0,7558882.0
Vận tải kho bãi và thông tin liên lạc,Phân tích dư nợ cho vay theo ngành như sau: > Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,23.549.692,14.875.936,23549692.0,14875936.0
"Thương mại, dịch vụ","Phân tích dư nợ cho vay theo ngành như sau: > Thương mại, dịch vụ","Thương mại, dịch vụ",105.498.319,94.526.338,105498319.0,94526338.0
"Nhà hàng, khách sạn","Phân tích dư nợ cho vay theo ngành như sau: > Nhà hàng, khách sạn","Nhà hàng, khách sạn",8.761.074,8.806.821,8761074.0,8806821.0
Các ngành khác,Phân tích dư nợ cho vay theo ngành như sau: > Các ngành khác,Các ngành khác,49.282.640,31.368.093,49282640.0,31368093.0
,,,384.643.654,321.321.599,384643654.0,321321599.0
