row_label_raw,row_label_full,Thuế phải trả (xem Thuyết minh 34),31/12/2015Triệu VND > 231.974,31/12/2014Triệu VND(Trình bày lại) > 398.290,numeric__31/12/2015Triệu VND > 231.974,numeric__31/12/2014Triệu VND(Trình bày lại) > 398.290
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,163.624,336.187,163624.0,336187.0
- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,24.502,19.437,24502.0,19437.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,43.848,42.666,43848.0,42666.0
Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,30.483,139.160,30483.0,139160.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,137.828,348.833,137828.0,348833.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,182.115,221.799,182115.0,221799.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,189.171,305.166,189171.0,305166.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,106.740,74.931,106740.0,74931.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,1.500.000,1.500.000,1500000.0,1500000.0
Phải trả khác,Phải trả khác,Phải trả khác,1.152.747,922.628,1152747.0,922628.0
,,,3.595.586,3.975.335,3595586.0,3975335.0
