row_label_raw,row_label_full,Công ty con,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng
Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Giấy phép hoạt động số 05/GP-CTCTTC ngày 25 tháng 5 năm 1998 của NHNN,Cho thuê tài chính,100%,,,1.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Giấy phép hoạt động số 09/GPHĐKD ngày 24 tháng 4 năm 2002 và Giấy phép số 12/GPHĐLK ngày 23 tháng 5 năm 2002 của Ủy ban Chứng khoán Nhà nước (“UBCKNN”),Chứng khoán,100%,,,1.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Giấy phép đầu tư số 1578/GP ngày 30 tháng 5 năm 1996 do Bộ Kế hoạch và Đầu tư cấp,Cho thuê văn phòng,70%,,,0.7
Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Giấy phép đầu tư số 05456282-000-02-11-7 do Cơ quan Quản lý Tiền tệ Hồng Kông cấp ngày 10 tháng 2 năm 2011,Dịch vụ tài chính,100%,,,1.0
Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,"Giấy đăng ký kinh doanh số E0321392009-6 do Chính quyền Bang Nevada, Hoa Kỳ cấp ngày 15 tháng 6 năm 2009",Chuyển tiền kiểu hối,"87,5%",,,0.875
