row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Tổng cộngTriệu VND,Lợi nhuận sau thuế chưa phân phối/ Lỗ luỹ kếTriệu VND,Tổng cộngTriệu VND_1,numeric__Vốn điều lệTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Tổng cộngTriệu VND,numeric__Lợi nhuận sau thuế chưa phân phối/ Lỗ luỹ kếTriệu VND,numeric__Tổng cộngTriệu VND_1
Số dư tại ngày 1/1/2015(trình bày lại),Số dư tại ngày 1/1/2015(trình bày lại),Số dư tại ngày 1/1/2015(trình bày lại),26.650.203,5.725.318,1.328.154,2.645.407,3.973.561,6.330.315,42.679.397,26650203.0,5725318.0,1328154.0,2645407.0,3973561.0,6330315.0,42679397.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,-,5.208.477,5.208.477,,,,,,5208477.0,5208477.0
Tạm trích quỹ từ lợi nhuận năm 2015,Tạm trích quỹ từ lợi nhuận năm 2015,Tạm trích quỹ từ lợi nhuận năm 2015,-,-,260.425,520.846,781.271,(1.738.597),(957.326),,,260425.0,520846.0,781271.0,-1738597.0,-957326.0
Sử dụng trong kỳ,Sử dụng trong kỳ,Sử dụng trong kỳ,-,-,-,(5.325),(5.325),-,(5.325),,,,-5325.0,-5325.0,,-5325.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,188,188,,,,,,188.0,188.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,-,-,-,-,,,,,,,
Trả cổ tức trong kỳ,Giảm trong kỳ > Trả cổ tức trong kỳ,Trả cổ tức trong kỳ,-,-,-,-,-,(2.665.020),(2.665.020),,,,,,-2665020.0,-2665020.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,-,,,,,,,
Số dư tại ngày 31/12/2015,Giảm khác > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,26.650.203,5.725.318,1.588.579,3.160.928,4.749.507,7.135.363,44.260.391,26650203.0,5725318.0,1588579.0,3160928.0,4749507.0,7135363.0,44260391.0
