row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2015Triệu VND,Nămkết thúc31/12/2014Triệu VND(Trình bày lại),numeric__Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2014Triệu VND(Trình bày lại)
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,
Thu từ dịch vụ thanh toán,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,2.130.027,1.727.612,2130027.0,1727612.0
Thu từ dịch vụ ngân quỹ,Thu nhập từ hoạt động dịch vụ > Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,186.393,157.229,186393.0,157229.0
Thu từ nghiệp vụ ủy thác và đại lý,Thu nhập từ hoạt động dịch vụ > Thu từ nghiệp vụ ủy thác và đại lý,Thu từ nghiệp vụ ủy thác và đại lý,2.636,2.532,2636.0,2532.0
Thu khác,Thu nhập từ hoạt động dịch vụ > Thu khác,Thu khác,958.718,812.268,958718.0,812268.0
,,,3.277.774,2.699.641,3277774.0,2699641.0
Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,,
Chi về dịch vụ thanh toán,Chi phí từ hoạt động dịch vụ > Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.280.848),(1.068.182),-1280848.0,-1068182.0
Chi về dịch vụ ngân quỹ,Chi phí từ hoạt động dịch vụ > Chi về dịch vụ ngân quỹ,Chi về dịch vụ ngân quỹ,(50.158),(35.187),-50158.0,-35187.0
Chi về dịch vụ viễn thông,Chi phí từ hoạt động dịch vụ > Chi về dịch vụ viễn thông,Chi về dịch vụ viễn thông,(76.999),(65.695),-76999.0,-65695.0
Chi về nghiệp vụ ủy thác và đại lý,Chi phí từ hoạt động dịch vụ > Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(327),(526),-327.0,-526.0
Chi khác,Chi phí từ hoạt động dịch vụ > Chi khác,Chi khác,(224.032),(151.268),-224032.0,-151268.0
,,,(1.632.364),(1.320.858),-1632364.0,-1320858.0
,,,1.645.410,1.378.783,1645410.0,1378783.0
