row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệvốn góp,Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệvốn góp,numeric__Giá gốcTriệu VND
Công ty TNHH MTV Cho thuê Tài chínhVietcombank,Công ty TNHH MTV Cho thuê Tài chínhVietcombank,Công ty TNHH MTV Cho thuê Tài chínhVietcombank,Cho thuê tài chính,100%,500.000,,1.0,500000.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Chứng khoán,100%,700.000,,1.0,700000.0
Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Dịch vụ tài chính,100%,116.902,,1.0,116902.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Cho thuê văn phòng,70%,197.652,,0.7,197652.0
Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Chuyển tiền kiểu hồi,75%,84.858,,0.75,84858.0
,,,,,1.599.412,,,1599412.0
