row_label_raw,row_label_full,col_0,Năm kết thúc31/12/2014Triệu VND(Số theo báo cáo KTNN),Năm kết thúc31/12/2014Triệu VND(Số đã kiểm toán),Chênh lệchTriệu VND,numeric__Năm kết thúc31/12/2014Triệu VND(Số theo báo cáo KTNN),numeric__Năm kết thúc31/12/2014Triệu VND(Số đã kiểm toán),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27.822.983,27.843.199,(20.216),27822983.0,27843199.0,-20216.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,11.574.678,11.594.894,(20.216),11574678.0,11594894.0,-20216.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,2.953.295,2.953.004,291,2953295.0,2953004.0,291.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.632.437,1.632.146,291,1632437.0,1632146.0,291.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(6.722.416),(6.735.700),13.284,-6722416.0,-6735700.0,13284.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,10.220.567,10.227.208,(6.641),10220567.0,10227208.0,-6641.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.572.664),(4.546.969),(25.695),-4572664.0,-4546969.0,-25695.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,5.647.903,5.680.239,(32.336),5647903.0,5680239.0,-32336.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.197.270),(1.204.336),7.066,-1197270.0,-1204336.0,7066.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(1.197.270),(1.204.336),7.066,-1197270.0,-1204336.0,7066.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,4.450.633,4.475.903,(25.270),4450633.0,4475903.0,-25270.0
