row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Giá gốc Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Giá gốc Triệu VND
Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Cho thuê văn phòng,52%,410.365,,0.52,410365.0
Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Quản lý quỹ đầu tư,51%,135.150,,0.51,135150.0
Công ty TNHH Bảo hiểm Nhân thọ Vietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọ Vietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọ Vietcombank - Cardif,Bảo hiểm nhân thọ,45%,270.000,,0.45,270000.0
,,,,,815.515,,,815515.0
