row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2015Triệu VND,Nămkết thúc31/12/2014Triệu VND(Trình bày lại),numeric__Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2014Triệu VND(Trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,1.831.996,1.412.884,1831996.0,1412884.0
Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn,Thu nhập từ hoạt động khác > Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn,Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn,-,10.449,,10449.0
Thu về nghiệp vụ bán nợ,Thu nhập từ hoạt động khác > Thu về nghiệp vụ bán nợ,Thu về nghiệp vụ bán nợ,212.882,356.548,212882.0,356548.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,90.921,157.156,90921.0,157156.0
,,,2.135.799,1.937.037,2135799.0,1937037.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(4.310),(32.815),-4310.0,-32815.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(110),(163),-110.0,-163.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(211.852),(111.625),-211852.0,-111625.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(14.118),(5.352),-14118.0,-5352.0
,,,(230.390),(149.955),-230390.0,-149955.0
,,,1.905.409,1.787.082,1905409.0,1787082.0
