row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND (Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,8.518.139,8.322.349,,4.0,8518139.0,8322349.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,19.714.714,13.266.782,,5.0,19714714.0,13266782.0
III,A > III,III,Tiền gửi tại và cho vay các tổ chức tín dụng khác,6,133.357.003,147.454.544,,6.0,133357003.0,147454544.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,92.189.431,88.667.057,,,92189431.0,88667057.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,41.167.572,58.810.364,,,41167572.0,58810364.0
3,A > 3,3,Dự phòng rủi ro,,-,(22.877),,,,-22877.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,9.061.389,9.777.109,,7.0,9061389.0,9777109.0
1,A > 1,1,Chứng khoán kinh doanh,,9.061.389,9.777.109,,,9061389.0,9777109.0
2,2,2,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,,
V,2 > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,628,-,,18.0,628.0,
VI,2 > VI,VI,Cho vay khách hàng,,376.079.052,314.278.045,,,376079052.0,314278045.0
1,2 > 1,1,Cho vay khách hàng,8,384.643.654,321.321.599,,8.0,384643654.0,321321599.0
2,2 > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(8.564.602),(7.043.554),,9.0,-8564602.0,-7043554.0
VIII,2 > VIII,VIII,Chứng khoán đầu tư,,107.462.284,66.803.506,,,107462284.0,66803506.0
1,2 > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10(a),42.468.041,48.975.669,,,42468041.0,48975669.0
2,2 > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10(b),65.661.872,18.057.171,,,65661872.0,18057171.0
3,2 > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(667.629),(229.334),,,-667629.0,-229334.0
IX,2 > IX,IX,"Góp vốn, đầu tư dài hạn",,5.339.786,5.144.691,,,5339786.0,5144691.0
1,2 > 1,1,Đầu tư vào công ty con,11(a),1.719.532,1.599.412,,,1719532.0,1599412.0
2,2 > 2,2,Vốn góp liên doanh,11(b),815.515,708.415,,,815515.0,708415.0
3,2 > 3,3,Đầu tư vào công ty liên kết,11(c),11.110,11.110,,,11110.0,11110.0
4,2 > 4,4,Đầu tư dài hạn khác,11(d),2.829.418,2.851.595,,,2829418.0,2851595.0
5,2 > 5,5,Dự phòng giảm giá đầu tư dài hạn,11(e),(35.789),(25.841),,,-35789.0,-25841.0
X,2 > X,X,Tài sản cố định,,4.771.541,4.203.121,,,4771541.0,4203121.0
1,2 > 1,1,Tài sản cố định hữu hình,12,3.149.649,2.585.089,,12.0,3149649.0,2585089.0
a,2 > a,a,Nguyên giá tài sản cố định,,6.987.554,5.897.915,,,6987554.0,5897915.0
b,2 > b,b,Hao mòn tài sản cố định,,(3.837.905),(3.312.826),,,-3837905.0,-3312826.0
2,2 > 2,2,Tài sản cố định vô hình,13,1.621.892,1.618.032,,13.0,1621892.0,1618032.0
a,2 > a,a,Nguyên giá tài sản cố định,,2.164.095,2.108.288,,,2164095.0,2108288.0
b,2 > b,b,Hao mòn tài sản cố định,,(542.203),(490.256),,,-542203.0,-490256.0
XII,2 > XII,XII,Tài sản Có khác,,8.623.946,7.055.375,,,8623946.0,7055375.0
1,2 > 1,1,Các khoản phải thu,14(a),2.226.236,1.764.933,,,2226236.0,1764933.0
2,2 > 2,2,"Các khoản lãi, phí phải thu",14(b),4.815.506,3.657.662,,,4815506.0,3657662.0
3,2 > 3,3,Tài sản Có khác,14(c),1.582.204,1.632.780,,,1582204.0,1632780.0
,,,TỔNG TÀI SẢN CÓ,,672.928.482,576.305.522,,,672928482.0,576305522.0
