row_label_raw,row_label_full,col_0,col_1,Nợ quá hạn trên 3 tháng Triệu VND,Nợ quá hạn đến 3 tháng Triệu VND,Nợ trong hạn > Đến1 thángTriệu VND,Nợ trong hạn > Từ 1 đến3 thángTriệu VND,Nợ trong hạn > Từ 3 đến12 thángTriệu VND,Nợ trong hạn > Từ 1 đến5 nămTriệu VND,Nợ trong hạn > Trên5 nămTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Nợ quá hạn trên 3 tháng Triệu VND,numeric__Nợ quá hạn đến 3 tháng Triệu VND,numeric__Nợ trong hạn > Đến1 thángTriệu VND,numeric__Nợ trong hạn > Từ 1 đến3 thángTriệu VND,numeric__Nợ trong hạn > Từ 3 đến12 thángTriệu VND,numeric__Nợ trong hạn > Từ 1 đến5 nămTriệu VND,numeric__Nợ trong hạn > Trên5 nămTriệu VND,numeric__Tổng cộngTriệu VND
I,I,I,Tài sản,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,-,8.518.139,-,-,-,-,8.518.139,,,,8518139.0,,,,,8518139.0
II,I > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,19.714.714,-,-,-,-,19.714.714,,,,19714714.0,,,,,19714714.0
III,I > III,III,"Tiền, vàng gửi và cho vay các tổ chức tín dụng khác – gộp",-,-,110.244.383,10.859.191,10.560.766,1.692.663,-,133.357.003,,,,110244383.0,10859191.0,10560766.0,1692663.0,,133357003.0
IV,I > IV,IV,Chứng khoán kinh doanh – gộp,-,-,9.061.389,-,,,-,9.061.389,,,,9061389.0,,,,,9061389.0
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,628,-,-,-,628,,,,,628.0,,,,628.0
VI,I > VI,VI,Cho vay và khách hàng – gộp,6.333.536,1.277.031,39.204.062,72.550.193,136.276.103,87.660.279,41.342.450,384.643.654,,6333536.0,1277031.0,39204062.0,72550193.0,136276103.0,87660279.0,41342450.0,384643654.0
VIII,I > VIII,VIII,Chứng khoán đầu tư – gộp,-,-,693.098,3.649.565,9.050.880,67.456.223,27.280.147,108.129.913,,,,693098.0,3649565.0,9050880.0,67456223.0,27280147.0,108129913.0
IX,I > IX,IX,Góp vốn đầu tư dài hạn – gộp,-,-,-,-,-,-,5.375.575,5.375.575,,,,,,,,5375575.0,5375575.0
X,I > X,X,Tài sản cố định,-,-,-,-,-,-,4.771.541,4.771.541,,,,,,,,4771541.0,4771541.0
XII,I > XII,XII,Tài sản Có khác – gộp,-,-,-,8.623.946,-,-,-,8.623.946,,,,,8623946.0,,,,8623946.0
,,,Tổng tài sản,6.333.536,1.277.031,187.435.785,95.683.523,155.887.749,156.809.165,78.769.713,682.196.502,,6333536.0,1277031.0,187435785.0,95683523.0,155887749.0,156809165.0,78769713.0,682196502.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
"I, II","I > I, II","I, II",Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,104.171.113,4.701.188,4.276.682,449.004,76.045,113.674.032,,,,104171113.0,4701188.0,4276682.0,449004.0,76045.0,113674032.0
III,I > III,III,Tiền gửi của khách hàng,-,-,170.298.274,143.732.017,150.875.102,36.590.502,14.690,501.510.585,,,,170298274.0,143732017.0,150875102.0,36590502.0,14690.0,501510585.0
VI,I > VI,VI,Phát hành giấy tờ có giá,-,-,2.889,-,4.181,-,2.000.000,2.007.070,,,,2889.0,,4181.0,,2000000.0,2007070.0
VII,I > VII,VII,Các khoản nợ khác,-,-,-,9.976.404,1.500.000,-,-,11.476.404,,,,,9976404.0,1500000.0,,,11476404.0
,,,Tổng nợ phải trả,-,-,274.472.276,158.409.609,156.655.965,37.039.506,2.090.735,628.668.091,,,,274472276.0,158409609.0,156655965.0,37039506.0,2090735.0,628668091.0
,,,Mức chênh thanh khoản ròng,6.333.536,1.277.031,(87.036.491),(62.726.086),(768.216),119.769.659,76.678.978,53.528.411,,6333536.0,1277031.0,-87036491.0,-62726086.0,-768216.0,119769659.0,76678978.0,53528411.0
