row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2015 Triệu VND,Năm kết thúc 31/12/2014 Triệu VND (Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2015 Triệu VND,numeric__Năm kết thúc 31/12/2014 Triệu VND (Trình bày lại)
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1,1,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,29.957.328,28.004.034,,,29957328.0,28004034.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 2,2,Chi phí lãi và các chi phí tương tự đã trả,,(15.696.663),(15.857.288),,,-15696663.0,-15857288.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 3,3,Thu nhập từ hoạt động dịch vụ nhận được,,1.645.410,1.378.442,,,1645410.0,1378442.0
4,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 4,4,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,2.134.498,1.785.916,,,2134498.0,1785916.0
5,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 5,5,Thu nhập khác,,71.612,364.339,,,71612.0,364339.0
6,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 6,6,"Tiền thu từ các khoản nợ đã được xử lý, bù đắp bằng nguồn rủi ro",,1.831.996,1.412.884,,,1831996.0,1412884.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 7,7,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,(7.019.570),(6.117.125),,,-7019570.0,-6117125.0
8,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 8,8,Tiền thuế thu nhập thực nộp trong kỳ,34,(1.618.531),(1.089.856),,34.0,-1618531.0,-1089856.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,11.306.080,9.881.346,,,11306080.0,9881346.0
(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,,,,
9,(Tăng)/Giảm về tài sản hoạt động > 9,9,"Các khoản tiền, vàng gửi và cho vay tổ chức tín dụng khác",,4.654.648,(10.398.429),,,4654648.0,-10398429.0
