row_label_raw,row_label_full,col_0,31/12/2014Triệu VND(Số theo báo cáo KTNN),31/12/2014Triệu VND(Số đã kiểm toán),Chênh lệchTriệu VND,numeric__31/12/2014Triệu VND(Số theo báo cáo KTNN),numeric__31/12/2014Triệu VND(Số đã kiểm toán),numeric__Chênh lệchTriệu VND
Tiền gửi tại và cho vay các tổ chức tín dụng khác,Tiền gửi tại và cho vay các tổ chức tín dụng khác,Tiền gửi tại và cho vay các tổ chức tín dụng khác,147.454.544,147.444.942,9.602,147454544.0,147444942.0,9602.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,88.667.057,88.667.057,-,88667057.0,88667057.0,
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,58.810.364,58.810.364,-,58810364.0,58810364.0,
Dự phòng rủi ro cho vay các tổ chức tín dụng khác,Dự phòng rủi ro cho vay các tổ chức tín dụng khác,Dự phòng rủi ro cho vay các tổ chức tín dụng khác,(22.877),(32.479),9.602,-22877.0,-32479.0,9602.0
Cho vay và ứng trước khách hàng,Cho vay và ứng trước khách hàng,Cho vay và ứng trước khách hàng,314.278.045,314.313.341,(35.296),314278045.0,314313341.0,-35296.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,321.321.599,321.315.518,6.081,321321599.0,321315518.0,6081.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(7.043.554),(7.002.177),(41.377),-7043554.0,-7002177.0,-41377.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.203.121,4.184.205,18.916,4203121.0,4184205.0,18916.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,2.585.089,2.568.054,17.035,2585089.0,2568054.0,17035.0
Nguyên giá,Nguyên giá,Nguyên giá,5.897.915,5.880.586,17.329,5897915.0,5880586.0,17329.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(3.312.826),(3.312.532),(294),-3312826.0,-3312532.0,-294.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,1.618.032,1.616.151,1.881,1618032.0,1616151.0,1881.0
Nguyên giá,Nguyên giá,Nguyên giá,2.108.288,2.105.999,2.289,2108288.0,2105999.0,2289.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(490.256),(489.848),(408),-490256.0,-489848.0,-408.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,7.055.375,7.062.487,(7.112),7055375.0,7062487.0,-7112.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,1.764.933,1.764.784,149,1764933.0,1764784.0,149.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",3.657.662,3.645.515,12.147,3657662.0,3645515.0,12147.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,1.632.780,1.652.188,(19.408),1632780.0,1652188.0,-19408.0
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,(13.890),,,-13890.0
