row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc31/12/2015Triệu VND,Năm kết thúc31/12/2014Triệu VND(Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc31/12/2015Triệu VND,numeric__Năm kết thúc31/12/2014Triệu VND(Trình bày lại)
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1,1,Mua sắm tài sản cố định,,(1.158.327),(979.065),,,-1158327.0,-979065.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2,2,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,3.862,3.949,,,3862.0,3949.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3,3,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",,(2.061),(2.499),,,-2061.0,-2499.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7,7,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(228.584),(499.602),,,-228584.0,-499602.0
8,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 8,8,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,12.100,9.565,,,12100.0,9565.0
9,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 9,9,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,75.256,202.137,,,75256.0,202137.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 10,10,Tiền thu cổ tức đã có quyết định trả cổ tức năm trước,,3.562,-,,,3562.0,
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,Lưu chuyển tiền từ hoạt động đầu tư,,(1.294.192),(1.265.515),,,-1294192.0,-1265515.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1,1,Chi phí phát hành cổ phiếu thường năm 2014,,-,(47),,,,-47.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2,2,Cổ tức năm trước đã trả bằng tiền mặt,,(2.665.020),(2.780.901),,,-2665020.0,-2780901.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.665.020),(2.780.948),,,-2665020.0,-2780948.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,Lưu chuyển tiền thuần trong năm,,(11.450.122),37.982.909,,,-11450122.0,37982909.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,33,174.190.601,136.207.692,,33.0,174190601.0,136207692.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,33,162.740.479,174.190.601,,33.0,162740479.0,174190601.0
