row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015Triệu VND,31/12/2014Triệu VND(Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND(Trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,15,41.479.553,54.093.072,,15.0,41479553.0,54093072.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,72.194.479,43.389.077,,16.0,72194479.0,43389077.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,52.011.179,33.998.169,,,52011179.0,33998169.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,20.183.300,9.390.908,,,20183300.0,9390908.0
III,B > III,III,Tiền gửi của khách hàng,17,501.510.585,423.240.685,,17.0,501510585.0,423240685.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,18,-,75.278,,18.0,,75278.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,2.007.070,2.008.641,,19.0,2007070.0,2008641.0
VII,B > VII,VII,Các khoản nợ khác,,11.476.404,10.819.372,,,11476404.0,10819372.0
1,B > 1,1,"Các khoản lãi, phí phải trả",20(a),4.996.351,4.814.752,,,4996351.0,4814752.0
2,B > 2,2,Các khoản phải trả và công nợ khác,20(b),6.480.053,6.004.620,,,6480053.0,6004620.0
,,,TỔNG NỘ PHẢI TRẢ,,628.668.091,533.626.125,,,628668091.0,533626125.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,32.375.521,32.375.521,,,32375521.0,32375521.0
a,VIII > a,a,Vốn điều lệ,,26.650.203,26.650.203,,,26650203.0,26650203.0
b,VIII > b,b,Thặng dư vốn cổ phần,,5.725.318,5.725.318,,,5725318.0,5725318.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,4.749.507,3.973.561,,,4749507.0,3973561.0
4,VIII > 4,4,Lợi nhuận chưa phân phối,,7.135.363,6.330.315,,,7135363.0,6330315.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,3.665.749,3.316.439,,,3665749.0,3316439.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,3.469.614,3.013.876,,,3469614.0,3013876.0
,,,TỔNG VỐN CHỦ SỞ HỮU,21,44.260.391,42.679.397,,21.0,44260391.0,42679397.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,672.928.482,576.305.522,,,672928482.0,576305522.0
