row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Giá gốcTriệu VND
Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHH Vietcombank - Bonday - Bến Thành,Cho thuê văn phòng,52%,410.365,,0.52,410365.0
Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank,Quản lý quỹ đầu tư,51%,28.050,,0.51,28050.0
Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Bảo hiểm nhân thọ,45%,270.000,,0.45,270000.0
,,,,,708.415,,,708415.0
