row_label_raw,row_label_full,Ngân hàng Nhà nước Việt Nam,Mối quan hệ > Cơ quanquản lý,31/12/2015Triệu VND > 19.714.714,31/12/2014Triệu VND > 13.266.782,numeric__Mối quan hệ > Cơ quanquản lý,numeric__31/12/2015Triệu VND > 19.714.714,numeric__31/12/2014Triệu VND > 13.266.782
Tiền gửi của Ngân hàng tại NHNN,Tiền gửi của Ngân hàng tại NHNN,Tiền gửi của Ngân hàng tại NHNN,Cơ quanquản lý,15.429.696,18.002.192,,15429696.0,18002192.0
Tiền gửi và tiền vay của Ngân hàng từ NHNN,Tiền gửi và tiền vay của Ngân hàng từ NHNN,Tiền gửi và tiền vay của Ngân hàng từ NHNN,Cơ quanquản lý,,,,,
Bộ Tài chính,Tiền gửi và tiền vay của Ngân hàng từ NHNN > Bộ Tài chính,Bộ Tài chính,Cơ quanquản lý,-,609.724,,,609724.0
Cho vay Bộ Tài chính,Tiền gửi và tiền vay của Ngân hàng từ NHNN > Cho vay Bộ Tài chính,Cho vay Bộ Tài chính,Cơ quanquản lý,26.049.857,36.090.880,,26049857.0,36090880.0
Tiền gửi tại Ngân hàng,Tiền gửi và tiền vay của Ngân hàng từ NHNN > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Cơ quanquản lý,545.838,248.738,,545838.0,248738.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,Cơ quanquản lý,,,,,
Công ty TNHH một thành viêncho thuê tài chính Vietcombank,Công ty TNHH một thành viêncho thuê tài chính Vietcombank,Công ty TNHH một thành viêncho thuê tài chính Vietcombank,Công ty con,,,,,
Cho vay,Công ty TNHH một thành viêncho thuê tài chính Vietcombank > Cho vay,Cho vay,,2.032.163,1.620.440,,2032163.0,1620440.0
Tiền gửi của Công ty tại Ngân hàng,Công ty TNHH một thành viêncho thuê tài chính Vietcombank > Tiền gửi của Công ty tại Ngân hàng,Tiền gửi của Công ty tại Ngân hàng,,267.497,300.988,,267497.0,300988.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty con,,,,,
Tiền gửi tại Ngân hàng,Công ty TNHH Chứng khoán Vietcombank > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,652.251,706.427,,652251.0,706427.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty con,,,,,
Tiền gửi tại Ngân hàng,Công ty TNHH Cao ốc Vietcombank 198 > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,416.093,416.743,,416093.0,416743.0
Tiền thuê văn phòng trả trước,Công ty TNHH Cao ốc Vietcombank 198 > Tiền thuê văn phòng trả trước,Tiền thuê văn phòng trả trước,,58.063,143.028,,58063.0,143028.0
Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Công ty con,,,,,
Tiền gửi của Ngân hàng,Công ty TNHH Tài chính Việt Nam > Tiền gửi của Ngân hàng,Tiền gửi của Ngân hàng,,2.263.589,2.133.699,,2263589.0,2133699.0
Công ty chuyển tiền Vietcombank,Công ty chuyển tiền Vietcombank,Công ty chuyển tiền Vietcombank,Công ty con,,,,,
Tiền gửi của Công ty tại Ngân hàng,Công ty chuyển tiền Vietcombank > Tiền gửi của Công ty tại Ngân hàng,Tiền gửi của Công ty tại Ngân hàng,,1.928,-,,1928.0,
