row_label_raw,row_label_full,Bà NGUYỄN KIM PHƯỢNG,Trường ban,numeric__Trường ban
Bà NGUYỄN THỊ HOAN,Bà NGUYỄN THỊ HOAN,Bà NGUYỄN THỊ HOAN,Thành viên,
Ông HOÀNG VŨ TÙNG,Ông HOÀNG VŨ TÙNG,Ông HOÀNG VŨ TÙNG,Thành viên,
