row_label_raw,row_label_full,Ông NGUYỄN VĂN HÀO > Ông NGUYỄN VĂN TRỌNG,Tổng Giám đốc > Phó Tổng Giám đốc phụ trách điều hành,(miễn nhiệm kể từ ngày 01/07/2020) > (bổ nhiệm kể từ ngày 01/07/2020),numeric__Tổng Giám đốc > Phó Tổng Giám đốc phụ trách điều hành,numeric__(miễn nhiệm kể từ ngày 01/07/2020) > (bổ nhiệm kể từ ngày 01/07/2020)
Ông PHẠM LINH,Ông PHẠM LINH,Ông PHẠM LINH,Phó Tổng Giám đốc,,,
Ông TRẦN TIÊN DŨNG,Ông TRẦN TIÊN DŨNG,Ông TRẦN TIÊN DŨNG,Phó Tổng Giám đốc,,,
Ông VŨ ĐỨC HƯNG,Ông VŨ ĐỨC HƯNG,Ông VŨ ĐỨC HƯNG,Phó Tổng Giám đốc,(miễn nhiệm kể từ ngày 01/08/2020),,
Ông LÊ MINH HUẤN,Ông LÊ MINH HUẤN,Ông LÊ MINH HUẤN,Phó Tổng Giám đốc,,,
Ông CÙ ANH TUẤN,Ông CÙ ANH TUẤN,Ông CÙ ANH TUẤN,Phó Tổng Giám đốc,(bổ nhiệm kể từ ngày 01/08/2020),,
Ông PHƯƠNG THÀNH LONG,Ông PHƯƠNG THÀNH LONG,Ông PHƯƠNG THÀNH LONG,Phó Tổng Giám đốc,(bổ nhiệm kể từ ngày 04/01/2021),,
Ông LÃ QUANG TRUNG,Ông LÃ QUANG TRUNG,Ông LÃ QUANG TRUNG,Kế toán trường,(miễn nhiệm kể từ ngày 01/05/2020),,
Ông NGUYỄN THÀNH CÔNG,Ông NGUYỄN THÀNH CÔNG,Ông NGUYỄN THÀNH CÔNG,Phó Giám đốc phụ trách Khối Tài Chính,(bổ nhiệm kể từ ngày 01/07/2020),,
