row_label_raw,row_label_full,15. Thuế và các khoản phải nộp và phải thu Nhà nước,15. Thuế và các khoản phải nộp và phải thu Nhà nước_1,15. Thuế và các khoản phải nộp và phải thu Nhà nước_2,15. Thuế và các khoản phải nộp và phải thu Nhà nước_3,15. Thuế và các khoản phải nộp và phải thu Nhà nước_4,numeric__15. Thuế và các khoản phải nộp và phải thu Nhà nước_1,numeric__15. Thuế và các khoản phải nộp và phải thu Nhà nước_2,numeric__15. Thuế và các khoản phải nộp và phải thu Nhà nước_3,numeric__15. Thuế và các khoản phải nộp và phải thu Nhà nước_4
(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,(a) Thuế và các khoản phải nộp Nhà nước,,,,
,,,1/1/2018VND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,31/12/2018VND,,,,
Thuế giá trị gia tăng,(a) Thuế và các khoản phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,50.512.084.213,233.926.975.362,(282.227.531.009),2.211.528.566,50512084213.0,233926975362.0,-282227531009.0,2211528566.0
Thuế thu nhập doanh nghiệp,(a) Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,73.127.847.686,316.746.641.701,(195.848.847.686),194.025.641.701,73127847686.0,316746641701.0,-195848847686.0,194025641701.0
Thuế thu nhập cá nhân,(a) Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,829.919.175,7.441.444.458,(6.230.232.156),2.041.131.477,829919175.0,7441444458.0,-6230232156.0,2041131477.0
Thuế tải nguyên,(a) Thuế và các khoản phải nộp Nhà nước > Thuế tải nguyên,Thuế tải nguyên,33.481.816.857,262.299.674.526,(272.376.056.215),23.405.435.168,33481816857.0,262299674526.0,-272376056215.0,23405435168.0
Các loại thuế khác,(a) Thuế và các khoản phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,24.491.353.271,157.751.639.619,(131.220.620.114),51.022.372.776,24491353271.0,157751639619.0,-131220620114.0,51022372776.0
,,,182.443.021.202,978.166.375.666,(887.903.287.180),272.706.109.688,182443021202.0,978166375666.0,-887903287180.0,272706109688.0
(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,,,,
,,,1/1/2018VND,Số phát sinhtrong nămVND,Số đã được hoàntrong nămVND,31/12/2018VND,,,,
"Thuế nhà đất, tiền thuê đất","(b) Thuế và các khoản phải thu Nhà nước > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",13.759.339,753.253.387,(753.253.387),13.759.339,13759339.0,753253387.0,-753253387.0,13759339.0
