row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.224.000.000.000,67.787.710.660,7.331.138.455,20.480.114.976,1.007.370.078.440,5.326.969.042.531,4224000000000.0,67787710660.0,7331138455.0,20480114976.0,1007370078440.0,5326969042531.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,655.079.909.419,655.079.909.419,,,,,655079909419.0,655079909419.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(422.400.000.000),(422.400.000.000),,,,,-422400000000.0,-422400000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.084.773.454,-,(7.084.773.454),-,-,,7084773454.0,,-7084773454.0,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,30.932.787.702,(30.932.787.702),-,,,,30932787702.0,-30932787702.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.582.725.800),(18.582.725.800),,,,,-18582725800.0,-18582725800.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,(21.029.241.492),-,-,(21.029.241.492),,,-21029241492.0,,,-21029241492.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,4.224.000.000.000,74.872.484.114,(13.698.103.037),44.328.129.224,1.190.534.474.357,5.520.036.984.658,4224000000000.0,74872484114.0,-13698103037.0,44328129224.0,1190534474357.0,5520036984658.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.282.463.513.110,1.282.463.513.110,,,,,1282463513110.0,1282463513110.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(760.320.000.000),(760.320.000.000),,,,,-760320000000.0,-760320000000.0
Tạm ứng cố tức (thuyết minh 23),Tạm ứng cố tức (thuyết minh 23),Tạm ứng cố tức (thuyết minh 23),-,-,-,-,(211.200.000.000),(211.200.000.000),,,,,-211200000000.0,-211200000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,53.881.687.427,-,(53.881.687.427),-,-,,53881687427.0,,-53881687427.0,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,15.000.000.000,(15.000.000.000),-,,,,15000000000.0,-15000000000.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(17.905.078.450),(17.905.078.450),,,,,-17905078450.0,-17905078450.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,(34.350.995.732),-,-,(34.350.995.732),,,-34350995732.0,,,-34350995732.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,4.224.000.000.000,128.754.171.541,(48.049.098.769),5.446.441.797,1.468.572.909.017,5.778.724.423.586,4224000000000.0,128754171541.0,-48049098769.0,5446441797.0,1468572909017.0,5778724423586.0
