row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.000.459.198.938,4.046.449.780.280,60.478.725.962,44.016.241.138,253.880.507,12.151.657.826.825,8000459198938.0,4046449780280.0,60478725962.0,44016241138.0,253880507.0,12151657826825.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.073.925.000,-,-,-,2.073.925.000,,2073925000.0,,,,2073925000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.427.374.999,37.951.475.469,-,-,-,50.378.850.468,12427374999.0,37951475469.0,,,,50378850468.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,1.066.406.600,(1.066.406.600),-,-,-,,1066406600.0,-1066406600.0,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.012.886.573.937,4.087.541.587.349,59.412.319.362,44.016.241.138,253.880.507,12.204.110.602.293,8012886573937.0,4087541587349.0,59412319362.0,44016241138.0,253880507.0,12204110602293.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.356.232.806.872,3.969.057.153.825,44.558.124.277,41.942.930.671,253.880.507,8.412.044.896.152,4356232806872.0,3969057153825.0,44558124277.0,41942930671.0,253880507.0,8412044896152.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,175.802.158.328,46.784.967.671,2.959.278.381,991.378.628,-,226.537.783.008,175802158328.0,46784967671.0,2959278381.0,991378628.0,,226537783008.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,1.066.406.600,(1.066.406.600),-,-,-,,1066406600.0,-1066406600.0,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.532.034.965.200,4.016.908.528.096,46.450.996.058,42.934.309.299,253.880.507,8.638.582.679.160,4532034965200.0,4016908528096.0,46450996058.0,42934309299.0,253880507.0,8638582679160.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.644.226.392.066,77.392.626.455,15.920.601.685,2.073.310.467,-,3.739.612.930.673,3644226392066.0,77392626455.0,15920601685.0,2073310467.0,,3739612930673.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.480.851.608.737,70.633.059.253,12.961.323.304,1.081.931.839,-,3.565.527.923.133,3480851608737.0,70633059253.0,12961323304.0,1081931839.0,,3565527923133.0
