row_label_raw,row_label_full,Vay từ Tập đoàn Điện Lực Việt Nam > Khoản vay 1 (i) > Khoản vay 2 (ii),Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2020 > 2021,"Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",31/12/2018VND > Vay từ Tập đoàn Điện Lực Việt Nam > 832.412.924.827 > 122.510.492.116,1/1/2018VND > Vay từ Tập đoàn Điện Lực Việt Nam > 794.079.153.563 > 117.637.095.531,numeric__Tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,numeric__Nămđáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2020 > 2021,"numeric__Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",numeric__31/12/2018VND > Vay từ Tập đoàn Điện Lực Việt Nam > 832.412.924.827 > 122.510.492.116,numeric__1/1/2018VND > Vay từ Tập đoàn Điện Lực Việt Nam > 794.079.153.563 > 117.637.095.531
Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,,,,,
Khoản vay 1 (iii),Vay từ Công ty Tài Chính Cổ phần Điện Lực > Khoản vay 1 (iii),Khoản vay 1 (iii),JPY,2044,"0,91% - 1,4%",1.006.691.746.449,587.629.877.215,,2044.0,,1006691746449.0,587629877215.0
,,,,,,1.961.615.163.392,1.499.346.126.309,,,,1961615163392.0,1499346126309.0
