row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Quá hạnTriệu VND,Không chịu lãiTriệu VND,Đến 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3đến 6 thángTriệu VND,Từ trên 6đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãiTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1 đến3 thángTriệu VND,numeric__Từ trên 3đến 6 thángTriệu VND,numeric__Từ trên 6đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.806.088,-,-,-,-,-,-,2.806.088,,2806088.0,,,,,,,2806088.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,4.608.680,-,-,-,-,-,-,4.608.680,,4608680.0,,,,,,,4608680.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,24.078,-,4.143.855,4.226.740,1.527.668,-,-,400.000,10.322.341,24078.0,,4143855.0,4226740.0,1527668.0,,,400000.0,10322341.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,103.034,-,-,-,-,-,-,103.034,,103034.0,,,,,,,103034.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,47.603,-,-,-,-,-,-,47.603,,47603.0,,,,,,,47603.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.798.160,-,1.957.844,116.445.740,5.992.766,4.913.096,785.710,138.488,134.031.804,3798160.0,,1957844.0,116445740.0,5992766.0,4913096.0,785710.0,138488.0,134031804.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,890.845,2.869.932,-,-,-,52.000,33.672.587,3.277.393,40.762.757,890845.0,2869932.0,,,,52000.0,33672587.0,3277393.0,40762757.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,218.797,-,-,-,-,-,-,218.797,,218797.0,,,,,,,218797.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.479.567,-,-,-,-,-,-,2.479.567,,2479567.0,,,,,,,2479567.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,61.921,-,-,-,-,-,-,61.921,,61921.0,,,,,,,61921.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,1.358.528,7.741.889,1.314.994,-,-,-,-,-,10.415.411,1358528.0,7741889.0,1314994.0,,,,,,10415411.0
,,,6.071.611,20.937.511,7.416.693,120.672.480,7.520.434,4.965.096,34.458.297,3.815.881,205.858.003,6071611.0,20937511.0,7416693.0,120672480.0,7520434.0,4965096.0,34458297.0,3815881.0,205858003.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.999.345,1.179.636,-,-,-,-,5.178.981,,,3999345.0,1179636.0,,,,,5178981.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,1.458.054,975.276,-,-,-,-,2.433.330,,,1458054.0,975276.0,,,,,2433330.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,81.675.511,20.246.258,24.005.793,8.704.727,40.286.672,36,174.918.997,,,81675511.0,20246258.0,24005793.0,8704727.0,40286672.0,36.0,174918997.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,130.935,-,-,-,30.743,161.678,,,,130935.0,,,,30743.0,161678.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,75.000,-,3.000.000,3.075.000,,,,,,75000.0,,3000000.0,3075000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.901.457,-,-,-,-,-,-,2.901.457,,2901457.0,,,,,,,2901457.0
