row_label_raw,row_label_full,Triệu VND,Ngân hàng,Kinh doanh chứng khoán,Quản lý tài sản,Cho thuê tài chính,Quản lý quỹ,Loại trừ,Tổng,numeric__Ngân hàng,numeric__Kinh doanh chứng khoán,numeric__Quản lý tài sản,numeric__Cho thuê tài chính,numeric__Quản lý quỹ,numeric__Loại trừ,numeric__Tổng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,13.440.026,204.812,30.827,96.288,4.460,(73.581),13.702.832,13440026.0,204812.0,30827.0,96288.0,4460.0,-73581.0,13702832.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,13.415.092,188.072,3.472,96.196,-,-,13.702.832,13415092.0,188072.0,3472.0,96196.0,,,13702832.0
Doanh thu lãi từ nội bộ,Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,24.934,16.740,27.355,92,4.460,(73.581),-,24934.0,16740.0,27355.0,92.0,4460.0,-73581.0,
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,786.092,158.163,-,-,1.366,(939),944.682,786092.0,158163.0,,,1366.0,-939.0,944682.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,674.065,102.051,15.969,4.782,255,(280.900),516.222,674065.0,102051.0,15969.0,4782.0,255.0,-280900.0,516222.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,8.955.948,27.937,-,26.895,-,(73.581),8.937.199,8955948.0,27937.0,,26895.0,,-73581.0,8937199.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí > Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,8.907.301,27.937,-,1.961,-,-,8.937.199,8907301.0,27937.0,,1961.0,,,8937199.0
Chi phí lãi từ nội bộ,Chi phí > Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,48.647,-,-,24.934,-,(73.581),-,48647.0,,,24934.0,,-73581.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,206.308,4.876,483,273,-,-,211.940,206308.0,4876.0,483.0,273.0,,,211940.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3.785.976,99.163,20.498,20.197,2.259,(8.211),3.919.882,3785976.0,99163.0,20498.0,20197.0,2259.0,-8211.0,3919882.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.951.951,333.050,25.815,53.705,3.822,(273.628),2.094.715,1951951.0,333050.0,25815.0,53705.0,3822.0,-273628.0,2094715.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,847.782,-,-,42.856,-,(11.324),879.314,847782.0,,,42856.0,,-11324.0,879314.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.104.169,333.050,25.815,10.849,3.822,(262.304),1.215.401,1104169.0,333050.0,25815.0,10849.0,3822.0,-262304.0,1215401.0
