row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VND(phân loại lại),numeric__2015Triệu VND,numeric__2014Triệu VND(phân loại lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu từ các công cụ tài chính phải sinh khác,Thu nhập khác > Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,1.091,3.480,1091.0,3480.0
Thu hồi nợ đã xóa số trong những năm trước,Thu nhập khác > Thu hồi nợ đã xóa số trong những năm trước,Thu hồi nợ đã xóa số trong những năm trước,147.890,51.844,147890.0,51844.0
Thu từ hoạt động kinh doanh khác,Thu nhập khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,1.462,380,1462.0,380.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,125.068,11.328,125068.0,11328.0
,,,275.511,67.032,275511.0,67032.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi về các công cụ tài chính phải sinh khác,Chi phí khác > Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(1.080),(3.444),-1080.0,-3444.0
Chi về hoạt động kinh doanh khác,Chi phí khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(340),(384),-340.0,-384.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,(31.608),(53.711),-31608.0,-53711.0
,,,(33.028),(57.539),-33028.0,-57539.0
,,,242.483,9.493,242483.0,9493.0
