row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,2.806.088,2.496.287,,5.0,2806088.0,2496287.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,4.608.680,3.357.730,,6.0,4608680.0,3357730.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,10.122.200,4.559.007,,7.0,10122200.0,4559007.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,5.971.691,3.882.060,,,5971691.0,3882060.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,4.350.650,1.380.900,,,4350650.0,1380900.0
3,A > 3,3,Dự phòng rủi ro,,(200.141),(703.953),,,-200141.0,-703953.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,100.457,1.105.122,,8.0,100457.0,1105122.0
1,A > 1,1,Chứng khoán kinh doanh,,103.034,1.108.232,,,103034.0,1108232.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(2.577),(3.110),,,-2577.0,-3110.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,47.603,14.403,,9.0,47603.0,14403.0
VI,A > VI,VI,Cho vay khách hàng,,132.490.987,114.745.251,,,132490987.0,114745251.0
1,A > 1,1,Cho vay khách hàng,10,134.031.804,116.324.055,,10.0,134031804.0,116324055.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.540.817),(1.578.804),,11.0,-1540817.0,-1578804.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,38.679.144,39.676.852,,12.0,38679144.0,39676852.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,11.941.248,23.683.261,,,11941248.0,23683261.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,28.821.509,16.386.318,,,28821509.0,16386318.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.083.613),(392.727),,,-2083613.0,-392727.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,208.219,886.568,,13.0,208219.0,886568.0
2,A > 2,2,Vốn góp liên doanh,,1.278,1.278,,,1278.0,1278.0
3,A > 3,3,Đầu tư vào công ty liên kết,,315,329,,,315.0,329.0
4,A > 4,4,Đầu tư dài hạn khác,,217.204,948.030,,,217204.0,948030.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(10.578),(63.069),,,-10578.0,-63069.0
X,A > X,X,Tài sản cố định,,2.479.567,2.804.555,,,2479567.0,2804555.0
1,A > 1,1,Tài sản cố định hữu hình,14,2.054.258,2.384.923,,14.0,2054258.0,2384923.0
a,A > a,a,Nguyên giá tài sản cố định,,3.219.139,3.415.033,,,3219139.0,3415033.0
b,A > b,b,Hao mòn tài sản cố định,,(1.164.881),(1.030.110),,,-1164881.0,-1030110.0
3,A > 3,3,Tài sản cố định vô hình,15,425.309,419.632,,15.0,425309.0,419632.0
a,A > a,a,Nguyên giá tài sản cố định,,597.295,556.089,,,597295.0,556089.0
b,A > b,b,Hao mòn tài sản cố định,,(171.986),(136.457),,,-171986.0,-136457.0
XI,A > XI,XI,Bất động sản đầu tư,16,61.921,8.654,,16.0,61921.0,8654.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,62.643,9.015,,,62643.0,9015.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(722),(361),,,-722.0,-361.0
XII,A > XII,XII,Tài sản Có khác,17,9.852.119,9.955.342,,17.0,9852119.0,9955342.0
1,A > 1,1,Các khoản phải thu,,6.957.124,6.682.063,,,6957124.0,6682063.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.798.476,3.254.051,,,2798476.0,3254051.0
3,A > 3,3,Tài sản thuê thu nhập doanh nghiệp hoãn lại,24,2.800,4.891,,24.0,2800.0,4891.0
4,A > 4,4,Tài sản Có khác,,657.011,557.408,,,657011.0,557408.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(563.292),(543.071),,,-563292.0,-543071.0
,,,TỔNG TÀI SẢN,,201.456.985,179.609.771,,,201456985.0,179609771.0
