row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VND(phân loại lại),numeric__2015Triệu VND,numeric__2014Triệu VND(phân loại lại)
"1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí",8.939,13.538,8939.0,13538.0
2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,1.998.639,1.741.228,1998639.0,1741228.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi lương và phụ cấp,Trong đó: > ▪ Chi lương và phụ cấp,▪ Chi lương và phụ cấp,1.770.980,1.543.538,1770980.0,1543538.0
▪ Các khoản chi dòng góp theo lương,Trong đó: > ▪ Các khoản chi dòng góp theo lương,▪ Các khoản chi dòng góp theo lương,133.894,121.491,133894.0,121491.0
▪ Chi trợ cấp,Trong đó: > ▪ Chi trợ cấp,▪ Chi trợ cấp,2.793,3.441,2793.0,3441.0
▪ Chi phí khác,Trong đó: > ▪ Chi phí khác,▪ Chi phí khác,90.972,72.758,90972.0,72758.0
3. Chi về tài sản,Trong đó: > 3. Chi về tài sản,3. Chi về tài sản,811.934,718.006,811934.0,718006.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi phí khấu hao tài sản cố định,Trong đó: > ▪ Chi phí khấu hao tài sản cố định,▪ Chi phí khấu hao tài sản cố định,239.613,211.940,239613.0,211940.0
▪ Chi phí khác,Trong đó: > ▪ Chi phí khác,▪ Chi phí khác,572.321,506.066,572321.0,506066.0
4. Chi cho hoạt động quản lý công vụ,Trong đó: > 4. Chi cho hoạt động quản lý công vụ,4. Chi cho hoạt động quản lý công vụ,1.020.929,989.009,1020929.0,989009.0
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > 5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",183.258,165.519,183258.0,165519.0
6. Chi phí dự phòng (*),Trong đó: > 6. Chi phí dự phòng (*),6. Chi phí dự phòng (*),(2.016),196.741,-2016.0,196741.0
,,,4.021.683,3.824.041,4021683.0,3824041.0
