row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1đến 3 thángTriệu VND,Trong hạn > Từ trên 3đến 12 thángTriệu VND,Trong hạn > Từ trên 1đến 5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 3 thángTriệu VND,numeric__Trong hạn > Từ trên 3đến 12 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.496.287,-,-,-,-,2.496.287,,,2496287.0,,,,,2496287.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.357.730,-,-,-,-,3.357.730,,,3357730.0,,,,,3357730.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,718.908,-,1.841.152,1.030.900,500.000,1.172.000,-,5.262.960,718908.0,,1841152.0,1030900.0,500000.0,1172000.0,,5262960.0
Chứng khoán kính doanh – gộp,Tài sản > Chứng khoán kính doanh – gộp,Chứng khoán kính doanh – gộp,-,-,1.108.232,-,-,-,-,1.108.232,,,1108232.0,,,,,1108232.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,14.403,-,-,-,-,14.403,,,14403.0,,,,,14403.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.255.151,511.033,6.447.239,14.105.413,39.371.562,22.342.812,31.290.845,116.324.055,2255151.0,511033.0,6447239.0,14105413.0,39371562.0,22342812.0,31290845.0,116324055.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,443.125,-,662.501,2.498.737,4.022.933,26.442.161,6.000.122,40.069.579,443125.0,,662501.0,2498737.0,4022933.0,26442161.0,6000122.0,40069579.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,949.637,949.637,,,,,,,949637.0,949637.0
Tài sản có định,Tài sản > Tài sản có định,Tài sản có định,-,-,-,-,-,-,2.804.555,2.804.555,,,,,,,2804555.0,2804555.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,8.654,8.654,,,,,,,8654.0,8654.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,191.814,3.368,9.123.746,-,1.179.485,-,-,10.498.413,191814.0,3368.0,9123746.0,,1179485.0,,,10498413.0
,,,3.608.998,514.401,25.051.290,17.635.050,45.073.980,49.956.973,41.053.813,182.894.505,3608998.0,514401.0,25051290.0,17635050.0,45073980.0,49956973.0,41053813.0,182894505.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,4.250.123,1.036.380,721.881,118.896,17.958,6.145.238,,,4250123.0,1036380.0,721881.0,118896.0,17958.0,6145238.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,75.634.254,30.508.593,44.930.219,3.443.447,97.075,154.613.588,,,75634254.0,30508593.0,44930219.0,3443447.0,97075.0,154613588.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,17.280,46.853,94.999,29.023,188.155,,,,17280.0,46853.0,94999.0,29023.0,188155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,78.000,-,3.000.000,3.078.000,,,,,78000.0,,3000000.0,3078000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.187.487,-,-,-,-,3.187.487,,,3187487.0,,,,,3187487.0
,,,-,-,83.071.864,31.562.253,45.776.953,3.657.342,3.144.056,167.212.468,,,83071864.0,31562253.0,45776953.0,3657342.0,3144056.0,167212468.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.608.998,514.401,(58.020.574),(13.927.203),(702.973),46.299.631,37.909.757,15.682.037,3608998.0,514401.0,-58020574.0,-13927203.0,-702973.0,46299631.0,37909757.0,15682037.0
