row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,JPYTriệu VND,AUDTriệu VND,CADTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__JPYTriệu VND,numeric__AUDTriệu VND,numeric__CADTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.900.345,493.989,50.761,26.722,5.640,9.095,5.310,4.425,2.496.287,1900345.0,493989.0,50761.0,26722.0,5640.0,9095.0,5310.0,4425.0,2496287.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.997.941,1.359.789,-,-,-,-,-,-,3.357.730,1997941.0,1359789.0,,,,,,,3357730.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,3.694.305,1.457.967,-,65.184,23.665,2.060,6.043,13.736,5.262.960,3694305.0,1457967.0,,65184.0,23665.0,2060.0,6043.0,13736.0,5262960.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,1.108.232,-,-,-,-,-,-,-,1.108.232,1108232.0,,,,,,,,1108232.0
Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,,,,,,,,,
tài chính khác,Các công cụ tài chính phải sinh và các tài sản > tài chính khác,tài chính khác,358.043,(364.803),-,-,17.800,6.968,(1.834),(1.771),14.403,358043.0,-364803.0,,,17800.0,6968.0,-1834.0,-1771.0,14403.0
Cho vay khách hàng – gộp,Các công cụ tài chính phải sinh và các tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,106.152.191,9.569.232,593.154,9.478,-,-,-,-,116.324.055,106152191.0,9569232.0,593154.0,9478.0,,,,,116324055.0
Chứng khoán đầu tư – gộp,Các công cụ tài chính phải sinh và các tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,40.069.579,-,-,-,-,-,-,-,40.069.579,40069579.0,,,,,,,,40069579.0
"Gộp vốn, đầu tư dài hạn – gộp","Các công cụ tài chính phải sinh và các tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",949.637,-,-,-,-,-,-,-,949.637,949637.0,,,,,,,,949637.0
