row_label_raw,row_label_full,Chi tiết cơ sở xác định giá trị tài sản bảo đảm,31/12/2015Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,31/12/2014Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,numeric__31/12/2015Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,numeric__31/12/2014Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm
• Cổ phiếu niêm yết+ Dựa vào giá chào mua,• Cổ phiếu niêm yết+ Dựa vào giá chào mua,• Cổ phiếu niêm yết+ Dựa vào giá chào mua,1.906.214,2.139.733,1906214.0,2139733.0
• Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên mệnh giá,• Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên mệnh giá,• Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên mệnh giá,-,14.354,,14354.0
+ Dựa trên giá trị tài sản thuần theo sở sách,+ Dựa trên giá trị tài sản thuần theo sở sách,+ Dựa trên giá trị tài sản thuần theo sở sách,561.709,626.107,561709.0,626107.0
+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,76.324,107.124,76324.0,107124.0
+ Dựa trên mô hình định giá,+ Dựa trên mô hình định giá,+ Dựa trên mô hình định giá,247.011,272.045,247011.0,272045.0
+ Dựa vào giá vốn,+ Dựa vào giá vốn,+ Dựa vào giá vốn,-,4.538,,4538.0
+ Dựa trên giá chuyển nhượng gần nhất,+ Dựa trên giá chuyển nhượng gần nhất,+ Dựa trên giá chuyển nhượng gần nhất,1.497.015,-,1497015.0,
+ Dựa vào giá chào mua,+ Dựa vào giá chào mua,+ Dựa vào giá chào mua,-,1.514.161,,1514161.0
• Tiền gửi tại Ngân hàng - giá trị sở sách,• Tiền gửi tại Ngân hàng - giá trị sở sách,• Tiền gửi tại Ngân hàng - giá trị sở sách,-,176.509,,176509.0
• Các khoản phải thu - giá trị sở sách,• Các khoản phải thu - giá trị sở sách,• Các khoản phải thu - giá trị sở sách,101.032,113.525,101032.0,113525.0
• Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,• Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,• Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,300.000,300.000,300000.0,300000.0
,,,4.689.305,5.268.096,4689305.0,5268096.0
Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,,
• Tiền gửi tại Ngân hàng - giá trị sở sách,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác > • Tiền gửi tại Ngân hàng - giá trị sở sách,• Tiền gửi tại Ngân hàng - giá trị sở sách,42.832,212.213,42832.0,212213.0
,,,4.732.137,5.480.309,4732137.0,5480309.0
