row_label_raw,row_label_full,col_0,31/12/2015Triệu VND,31/12/2014Triệu VND,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND
Rủi ro tín dụng liên quan đến các tài sản nội bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Rủi ro tín dụng liên quan đến các tài sản nội bảng > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,10.322.341,5.262.960,10322341.0,5262960.0
Chứng khoán kinh doanh – chứng khoán nợ – gộp,Rủi ro tín dụng liên quan đến các tài sản nội bảng > Chứng khoán kinh doanh – chứng khoán nợ – gộp,Chứng khoán kinh doanh – chứng khoán nợ – gộp,-,1.015.684,,1015684.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,47.603,14.403,47603.0,14403.0
Cho vay khách hàng – gộp,Rủi ro tín dụng liên quan đến các tài sản nội bảng > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,134.031.804,116.324.055,134031804.0,116324055.0
Chứng khoán đầu tư:,Chứng khoán đầu tư:,Chứng khoán đầu tư:,Chứng khoán đầu tư:,Chứng khoán đầu tư:,,
▪ Chứng khoán nợ – đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư: > ▪ Chứng khoán nợ – đầu tư sẵn sàng để bán – gộp,▪ Chứng khoán nợ – đầu tư sẵn sàng để bán – gộp,10.954.086,23.418.339,10954086.0,23418339.0
▪ Chứng khoán nợ – đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư: > ▪ Chứng khoán nợ – đầu tư giữ đến ngày đáo hạn – gộp,▪ Chứng khoán nợ – đầu tư giữ đến ngày đáo hạn – gộp,28.821.509,16.386.318,28821509.0,16386318.0
Tài sản tài chính khác – gộp,Chứng khoán đầu tư: > Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,9.105.970,9.307.006,9105970.0,9307006.0
,,,193.283.313,171.728.765,193283313.0,171728765.0
Rủi ro tín dụng liên quan đến các tài sản ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng,,
Các cam kết tín dụng,Rủi ro tín dụng liên quan đến các tài sản ngoại bảng > Các cam kết tín dụng,Các cam kết tín dụng,8.597.478,9.548.240,8597478.0,9548240.0
,,,201.880.791,181.277.005,201880791.0,181277005.0
