row_label_raw,row_label_full,Triệu VND,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014_1,Ngày 31 tháng 12 năm 2014_2,Ngày 31 tháng 12 năm 2014_3,Ngày 31 tháng 12 năm 2014_4,Ngày 31 tháng 12 năm 2014_5,Ngày 31 tháng 12 năm 2014_6,numeric__Ngày 31 tháng 12 năm 2014,numeric__Ngày 31 tháng 12 năm 2014_1,numeric__Ngày 31 tháng 12 năm 2014_2,numeric__Ngày 31 tháng 12 năm 2014_3,numeric__Ngày 31 tháng 12 năm 2014_4,numeric__Ngày 31 tháng 12 năm 2014_5,numeric__Ngày 31 tháng 12 năm 2014_6
Triệu VND,Triệu VND,Triệu VND,Ngân hàng,Kinh doanh chứng khoán,Quản lý tài sản,Cho thuê tài chính,Quản lý quỹ,Loại trừ,Tổng,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"1. Tiền mặt, vàng bạc, đá quý","Tài sản > 1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý",2.496.266,-,4,-,17,-,2.496.287,2496266.0,,4.0,,17.0,,2496287.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,2.749.954,53.377,172,1.052,-,-,2.804.555,2749954.0,53377.0,172.0,1052.0,,,2804555.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,174.651.136,2.214.261,409.951,949.531,54.235,(3.970.185),174.308.929,174651136.0,2214261.0,409951.0,949531.0,54235.0,-3970185.0,174308929.0
,,,179.897.356,2.267.638,410.127,950.583,54.252,(3.970.185),179.609.771,179897356.0,2267638.0,410127.0,950583.0,54252.0,-3970185.0,179609771.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
1. Nợ phải trả khách hàng bên ngoài,Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,166.257.637,229.470,-,141.805,-,-,166.628.912,166257637.0,229470.0,,141805.0,,,166628912.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,1.495.416,13.657,2.300,472.301,420,(1.518.140),465.954,1495416.0,13657.0,2300.0,472301.0,420.0,-1518140.0,465954.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,15.697,333.554,1.368,108.965,181,(342.163),117.602,15697.0,333554.0,1368.0,108965.0,181.0,-342163.0,117602.0
,,,167.768.750,576.681,3.668,723.071,601,(1.860.303),167.212.468,167768750.0,576681.0,3668.0,723071.0,601.0,-1860303.0,167212468.0
