row_label_raw,row_label_full,col_0,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động_1,Những thay đổi về tài sản hoạt động_2,numeric__Những thay đổi về tài sản hoạt động,numeric__Những thay đổi về tài sản hoạt động_1,numeric__Những thay đổi về tài sản hoạt động_2
09,09,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(2.274.920),1.754.242,,-2274920.0,1754242.0
10,10,10,Tăng các khoản về kinh doanh chứng khoán,(959.524),(6.638.924),,-959524.0,-6638924.0
11,11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(33.200),(14.253),,-33200.0,-14253.0
12,12,12,Tăng các khoản cho vay khách hàng,(17.707.749),(9.134.034),,-17707749.0,-9134034.0
13,13,13,Giảm nguồn dự phòng để bù đắp tôn thất các khoản,(1.145.022),(496.006),,-1145022.0,-496006.0
14,14,14,Tăng khác về tài sản hoạt động,(139.575),(27.142),,-139575.0,-27142.0
,,,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,,,
15,15,15,Tăng/(giảm) các khoản nợ Chính phủ và Ngân hàng Nhà nước,5.178.981,(1.583.146),,5178981.0,-1583146.0
16,16,16,"Giảm các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",(3.711.908),(1.648.538),,-3711908.0,-1648538.0
17,17,17,Tăng tiền gửi của khách hàng,20.305.409,16.502.752,,20305409.0,16502752.0
18,18,18,Giảm phát hành giấy tờ có giá,(3.000),(422.000),,-3000.0,-422000.0
19,19,19,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",(26.477),(175.190),,-26477.0,-175190.0
21,21,21,(Giảm)/tăng khác về công nợ hoạt động,(327.381),270.899,,-327381.0,270899.0
22,22,22,Chi từ các quỹ của Tập đoàn,(10.624),(14.798),,-10624.0,-14798.0
I,I,I,LUÙ CHUYỀN TIỀN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,3.046.110,1.223.078,,3046110.0,1223078.0
