row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2014,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.928.268,738.102,337.017,153.997,3.157.384,1928268.0,738102.0,337017.0,153997.0,3157384.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,20.140,108.883,858,39.659,169.540,20140.0,108883.0,858.0,39659.0,169540.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,152.615,-,-,557,153.172,152615.0,,,557.0,153172.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.000),(30.208),(14.643),(1.923),(53.774),-7000.0,-30208.0,-14643.0,-1923.0,-53774.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,16.885,-,(28.174),(11.289),,16885.0,,-28174.0,-11289.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.094.023,833.662,323.232,164.116,3.415.033,2094023.0,833662.0,323232.0,164116.0,3415033.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,178.661,466.471,152.705,80.433,878.270,178661.0,466471.0,152705.0,80433.0,878270.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,49.236,99.464,26.127,18.503,193.330,49236.0,99464.0,26127.0,18503.0,193330.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(89),(29.922),(9.732),(1.447),(41.190),-89.0,-29922.0,-9732.0,-1447.0,-41190.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(299),-,(1),(300),,-299.0,,-1.0,-300.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,227.808,535.714,169.100,97.488,1.030.110,227808.0,535714.0,169100.0,97488.0,1030110.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.749.607,271.631,184.312,73.564,2.279.114,1749607.0,271631.0,184312.0,73564.0,2279114.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.866.215,297.948,154.132,66.628,2.384.923,1866215.0,297948.0,154132.0,66628.0,2384923.0
