row_label_raw,row_label_full,Bên liên quan > Nam Long ADC > Sàn Giao Dịch Nam Long > Nam Khang,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > VayThu nhập cổ tứcDịch vụ tư vấnquản lý (*) > Phí dịch vụ tưvấn quản lý > Chi phí hoa hồngDịch vụ tư vấnquản lý (*) > Chi phí dịch vụxây dựngVayThu nhập cổ tứcDịch vụ tư vấnquản lý (*)Chi phí lãi vay,Năm nay > 72.000.000.00034.971.966.000 > 10.851.692.800 > 9.748.509.091 > 51.171.627.4902.104.469.008 > 294.436.572.13160.000.000.0007.241.242.0731.923.333.333,VNDNăm trước > 52.000.000.00017.485.983.000 > 28.312.797.499 > 23.927.139.973 > 48.930.011.8471.822.057.748 > 210.181.902.141-49.300.000.0003.027.229.609-,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > VayThu nhập cổ tứcDịch vụ tư vấnquản lý (*) > Phí dịch vụ tưvấn quản lý > Chi phí hoa hồngDịch vụ tư vấnquản lý (*) > Chi phí dịch vụxây dựngVayThu nhập cổ tứcDịch vụ tư vấnquản lý (*)Chi phí lãi vay,numeric__Năm nay > 72.000.000.00034.971.966.000 > 10.851.692.800 > 9.748.509.091 > 51.171.627.4902.104.469.008 > 294.436.572.13160.000.000.0007.241.242.0731.923.333.333,numeric__VNDNăm trước > 52.000.000.00017.485.983.000 > 28.312.797.499 > 23.927.139.973 > 48.930.011.8471.822.057.748 > 210.181.902.141-49.300.000.0003.027.229.609-
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,Dịch vụ tư vấnquản lý (*),-,1.858.513.536,,,,1858513536.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,VayDịch vụ tư vấnquản lý (*)Cổ tứcPhí dịch vụ quản lýChi phí lãi vayDịch vụ tư vấnquản lý (*)Thuê văn phòngCho vayLãi cho vay,160.000.000.000152.820.694.363110.939.849.90025.216.614.6884.316.666.6661.988.420.4121.263.499.089-,-258.068.618.094418.545.797.350--9.000.000.00014.387.389.421,,,,
Nguyên Sơn,Nam Long VCD > Nguyên Sơn,Nguyên Sơn,Công ty con,VayHoàn vốn gópDoanh thu dịch vytổng thầu (*)Thu nhập cổ tứcChi phí lãi vayDịch vụ tư vấnquản lý (*),287.000.000.000183.394.430.000120.000.000.000116.231.005.00016.987.886.3752.102.024.772,60.000.000.000288.191.260.000-70.094.488.20024.705.840.27612.301.384.940,,,2.870000000001834e+68,
