row_label_raw,row_label_full,Bên liên quan > Nam Phan > Nam Long –Hồng Phát > NLG – NNR –HR Fuji,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > VayNhận cổ tứcChi phí lãi vayDịch vụ tư vấnquần lý (*) > Chi phí lãi vayCho vayThu nhập cổ tứcDịch vụ tư vấnquần lý (*) > Ứng trước mua dự án Hoàng NamGớp vốnDịch vụ tổng thầu (*)Cổ tức,Năm nay > 32.000.000.00020.197.099.71017.395.425.037 > 2.112.989.681 > 2.736.012.645- - > - > 500.000.000.000380.000.000.00016.088.109.15310.000.000.000,VNDNăm trước > - -31.456.971.773 > 5.064.589.600 > - 140.000.000.00066.384.284.674 > 9.783.399.323 > 600.000.000.000-41.305.940.047110.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > VayNhận cổ tứcChi phí lãi vayDịch vụ tư vấnquần lý (*) > Chi phí lãi vayCho vayThu nhập cổ tứcDịch vụ tư vấnquần lý (*) > Ứng trước mua dự án Hoàng NamGớp vốnDịch vụ tổng thầu (*)Cổ tức,numeric__Năm nay > 32.000.000.00020.197.099.71017.395.425.037 > 2.112.989.681 > 2.736.012.645- - > - > 500.000.000.000380.000.000.00016.088.109.15310.000.000.000,numeric__VNDNăm trước > - -31.456.971.773 > 5.064.589.600 > - 140.000.000.00066.384.284.674 > 9.783.399.323 > 600.000.000.000-41.305.940.047110.000.000.000
Kikyo Flora,Kikyo Flora,Kikyo Flora,Công ty con,Nhận cổ tứcDịch vụ tư vấnquần lý (*)Dịch vụ tổng thầu (*),15.500.000.000319.200.000-,- -99.945.016.765,,,,99945016765.0
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Gớp vốnCổ tứcDịch vụ tổng thầu (*)Dịch vụ tư vấnquần lý (*)Tạm ứng cho dự ánVSIP Hải Phòng,192.500.000.00040.000.000.00018.184.540.000565.000.000-,- 25.000.000.00014.982.205.065-115.399.232.242,,,,
NNH Mizuki,Kikyo Valora > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Dịch vụtổng thầu (*),166.484.093.455,285.089.265.455,,,166484093455.0,285089265455.0
Southgate,Kikyo Valora > Southgate,Southgate,Công tyliên doanh,Dịch vụtổng thầu (*),351.914.890.000,,,,351914890000.0,
Vận tảiNam Long,Kikyo Valora > Vận tảiNam Long,Vận tảiNam Long,Công ty con,Gớp vốn,8.000.000.000,,,,8000000000.0,
(*) Doanh thu cho bên liên quan (TM số 22.1),Kikyo Valora > (*) Doanh thu cho bên liên quan (TM số 22.1),(*) Doanh thu cho bên liên quan (TM số 22.1),(*) Doanh thu cho bên liên quan (TM số 22.1),(*) Doanh thu cho bên liên quan (TM số 22.1),1.018.688.970.162,762.410.315.215,,,1018688970162.0,762410315215.0
