row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.391.369.180.000,988.508.364.367,-,5.940.860.165,1.424.452.977.412,4.810.271.381.944,2391369180000.0,988508364367.0,,5940860165.0,1424452977412.0,4810271381944.0
Cổ tức bằng cổ phiếu (i),Năm nay > Cổ tức bằng cổ phiếu (i),Cổ tức bằng cổ phiếu (i),188.556.930.000,-,-,-,(188.556.930.000),-,188556930000.0,,,,-188556930000.0,
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),17.099.640.000,-,-,-,-,17.099.640.000,17099640000.0,,,,,17099640000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,580.182.451.864,580.182.451.864,,,,,580182451864.0,580182451864.0
Mua lại cổ phiếu quỹ (ii),Năm nay > Mua lại cổ phiếu quỹ (ii),Mua lại cổ phiếu quỹ (ii),-,-,(296.730.939.400),-,-,(296.730.939.400),,,-296730939400.0,,,-296730939400.0
Cổ tức bằng tiền công bố (iii),Năm nay > Cổ tức bằng tiền công bố (iii),Cổ tức bằng tiền công bố (iii),-,-,-,-,(188.751.557.266),(188.751.557.266),,,,,-188751557266.0,-188751557266.0
Trích lập quỹ khen thưởng phúc lợi (iv),Năm nay > Trích lập quỹ khen thưởng phúc lợi (iv),Trích lập quỹ khen thưởng phúc lợi (iv),-,-,-,-,(40.540.000.000),(40.540.000.000),,,,,-40540000000.0,-40540000000.0
Lương thưởng của Hội đồng quản trị,Năm nay > Lương thưởng của Hội đồng quản trị,Lương thưởng của Hội đồng quản trị,-,-,-,-,(7.630.000.000),(7.630.000.000),,,,,-7630000000.0,-7630000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.597.025.750.000,988.508.364.367,(296.730.939.400),5.940.860.165,1.579.156.942.010,4.873.900.977.142,2597025750000.0,988508364367.0,-296730939400.0,5940860165.0,1579156942010.0,4873900977142.0
