row_label_raw,row_label_full,"Phải thu các bên liên quan(Thuyết minh (""TM"") số 27)",Số cuối năm > 177.775.308.667,VND Số đầu năm > 78.209.136.357,numeric__Số cuối năm > 177.775.308.667,numeric__VND Số đầu năm > 78.209.136.357
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,54.642.692.712,35.816.028.304,54642692712.0,35816028304.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,232.418.001.379,114.025.164.661,232418001379.0,114025164661.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(185.761.495),(185.761.495),-185761495.0,-185761495.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,232.232.239.884,113.839.403.166,232232239884.0,113839403166.0
