row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
Nguyên Sơn,Phải thu ngắn hạn của khách hàng (TM số 6) > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,79.479.365.900,25.679.365.900,,,79479365900.0,25679365900.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 6) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Dịch vụ tổng thầu,47.078.870.300,-,,,47078870300.0,
Nam Long PMD,Phải thu ngắn hạn của khách hàng (TM số 6) > Nam Long PMD,Nam Long PMD,Công ty con,Doanh thu bán trung tâm thương mại dự án Novia,24.610.924.689,-,,,24610924689.0,
Kikyo Flora,Phải thu ngắn hạn của khách hàng (TM số 6) > Kikyo Flora,Kikyo Flora,Công ty con,Dịch vụ tổng thầu,8.236.862.442,8.236.862.442,,,8236862442.0,8236862442.0
Nam Long ADC,Phải thu ngắn hạn của khách hàng (TM số 6) > Nam Long ADC,Nam Long ADC,Công ty con,Dịch vụ tư vấn quản lý,6.869.163.683,11.115.461.847,,,6869163683.0,11115461847.0
Nam Long VCD,Phải thu ngắn hạn của khách hàng (TM số 6) > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,2.187.262.453,23.563.275.000,,,2187262453.0,23563275000.0
Nam Long – Hồng Phát,Phải thu ngắn hạn của khách hàng (TM số 6) > Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Dịch vụ tư vấn quản lý,1.850.998.155,1.850.998.155,,,1850998155.0,1850998155.0
Các cá nhân,Phải thu ngắn hạn của khách hàng (TM số 6) > Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,51.000.000,161.005.097,,,51000000.0,161005097.0
Các công ty khác,Phải thu ngắn hạn của khách hàng (TM số 6) > Các công ty khác,Các công ty khác,Công ty con,Dịch vụ tư vấn quản lý,7.410.861.045,7.602.167.916,,,7410861045.0,7602167916.0
,,,,,177.775.308.667,78.209.136.357,,,177775308667.0,78209136357.0
