row_label_raw,row_label_full,col_0,Số cuối kỳVND,Ngày đảo hạn,Mục đíchvay,Lãi suất(%/năm),Hình thứcđảm bảo,numeric__Số cuối kỳVND,numeric__Ngày đảo hạn,numeric__Mục đíchvay,numeric__Lãi suất(%/năm),numeric__Hình thứcđảm bảo
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,,,,,
VCD,Vay bên liên quan > VCD,VCD,130.000.000.000,Ngày 19 tháng6 năm 2020,,"6,0",Tín chấp,130000000000.0,,,6.0,
Nam LongADC - Vay 1,Vay bên liên quan > Nam LongADC - Vay 1,Nam LongADC - Vay 1,70.000.000.000,Ngày 3 tháng 6năm 2020,,"6,0",Tín chấp,70000000000.0,,,6.0,
Nam LongADC - Vay 2,Vay bên liên quan > Nam LongADC - Vay 2,Nam LongADC - Vay 2,50.000.000.000,Ngày 24 tháng8 năm 2020,,"6,0",Tín chấp,50000000000.0,,,6.0,
Nam LongADC - Vay 3,Vay bên liên quan > Nam LongADC - Vay 3,Nam LongADC - Vay 3,33.000.000.000,Ngày 26 tháng3 năm 2020,Hỗ trợnhu cầuvốn lưudộng,"8,0",Tín chấp,33000000000.0,,,8.0,
Nam LongHồng Phát –Vay 1,Vay bên liên quan > Nam LongHồng Phát –Vay 1,Nam LongHồng Phát –Vay 1,44.975.550.326,Ngày 27 tháng8 năm 2020,Hỗ trợnhu cầuvốn lưudộng,"6,0",Tín chấp,44975550326.0,,,6.0,
Nam LongHồng Phát –Vay 2,Vay bên liên quan > Nam LongHồng Phát –Vay 2,Nam LongHồng Phát –Vay 2,15.038.333.333,Ngày 23 tháng8 năm 2020,,"6,0",Tín chấp,15038333333.0,,,6.0,
Nam Khang,Vay bên liên quan > Nam Khang,Nam Khang,40.000.000.000,Ngày 15 tháng6 năm 2020,,"6,0",Tín chấp,40000000000.0,,,6.0,
Paragon,Vay bên liên quan > Paragon,Paragon,27.000.000.000,Ngày 4 tháng 1năm 2020,,"6,0",Tín chấp,27000000000.0,,,6.0,
TỔNG CỘNG,Vay bên liên quan > TỔNG CỘNG,TỔNG CỘNG,410.013.883.659,,,,,410013883659.0,,,,
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,,,,,
Ngân hàngTNHH MTVStandardChartered(Việt Nam),Vay ngân hàng > Ngân hàngTNHH MTVStandardChartered(Việt Nam),Ngân hàngTNHH MTVStandardChartered(Việt Nam),63.282.000.000,Ngày 25 tháng9 năm 2020,Hỗ trợnhu cầuvốn lưudộng,"6,5-7,5","Quyền sử dụngđất tại xã AnThanh, HuyệnBến Lức, TĩnhLong An(TM số 9)",63282000000.0,,,,
