row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Vay (TM số 18),Vay (TM số 18),Vay (TM số 18),Vay (TM số 18),Vay (TM số 18),Vay (TM số 18),Vay (TM số 18),,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Nam Long ADC,Vay ngắn hạn > Nam Long ADC,Nam Long ADC,Công ty con,Vay,153.000.000.000,81.000.000.000,,,153000000000.0,81000000000.0
Nam Long VCD,Vay ngắn hạn > Nam Long VCD,Nam Long VCD,Công ty con,Vay,130.000.000.000,-,,,130000000000.0,
Nam Long - Hồng Phát,Vay ngắn hạn > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Vay,60.013.883.659,44.975.550.326,,,60013883659.0,44975550326.0
Nam Khang,Vay ngắn hạn > Nam Khang,Nam Khang,Công ty con,Vay,40.000.000.000,-,,,40000000000.0,
Paragon,Vay ngắn hạn > Paragon,Paragon,Công ty con,Vay,27.000.000.000,-,,,27000000000.0,
Nam Phan,Vay ngắn hạn > Nam Phan,Nam Phan,Công ty con,Vay,-,269.426.165.000,,,,269426165000.0
Nguyên Sơn,Vay ngắn hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,-,264.764.754.348,,,,264764754348.0
,,,,,410.013.883.659,660.166.469.674,,,410013883659.0,660166469674.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Nam Phan,Vay dài hạn > Nam Phan,Nam Phan,Công ty con,Vay,289.426.165.000,-,,,289426165000.0,
Nguyên Sơn,Vay dài hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,228.268.439.348,-,,,228268439348.0,
,,,,,517.694.604.348,-,,,517694604348.0,
Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),Chi phí phải trả ngắn hạn (TM số 16),,,,
Nam Phan,Chi phí phải trả ngắn hạn (TM số 16) > Nam Phan,Nam Phan,Công ty con,Lãi vay,86.104.785.694,68.709.360.657,,,86104785694.0,68709360657.0
Nguyên Sơn,Chi phí phải trả ngắn hạn (TM số 16) > Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,72.648.370.336,55.660.483.961,,,72648370336.0,55660483961.0
Nam Long ADC,Chi phí phải trả ngắn hạn (TM số 16) > Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,7.310.667.000,1.753.000.000,,,7310667000.0,1753000000.0
Nam Long – Hồng Phát,Chi phí phải trả ngắn hạn (TM số 16) > Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Lãi vay,6.456.135.777,4.402.252.312,,,6456135777.0,4402252312.0
Nam Long VCD,Chi phí phải trả ngắn hạn (TM số 16) > Nam Long VCD,Nam Long VCD,Công ty con,Lãi vay,4.316.666.666,-,,,4316666666.0,
Paragon,Chi phí phải trả ngắn hạn (TM số 16) > Paragon,Paragon,Công ty con,Lãi vay,2.135.342.466,-,,,2135342466.0,
Nam Khang,Chi phí phải trả ngắn hạn (TM số 16) > Nam Khang,Nam Khang,Công ty con,Lãi vay,993.333.333,-,,,993333333.0,
,,,,,179.965.301.272,130.525.096.930,,,179965301272.0,130525096930.0
