row_label_raw,row_label_full,Nam Long ADC,Công ty con,Nhận góp vốn HĐHTKD - Dự án Ehome > Chia lợi nhuận - Dự án Ehome,56.993.724.484 > 38.320.610.400,56.993.726.134 > 36.331.391.493,numeric__Công ty con,numeric__Nhận góp vốn HĐHTKD - Dự án Ehome > Chia lợi nhuận - Dự án Ehome,numeric__56.993.724.484 > 38.320.610.400,numeric__56.993.726.134 > 36.331.391.493
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Nhận ký quỹ,-,115.399.232.242,,,,115399232242.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Nhận góp vốn HĐHTKD,138.678.918,138.678.918,,,138678918.0,138678918.0
,,,,,95.453.013.802,208.863.028.787,,,95453013802.0,208863028787.0
