row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,14.891.965.338.580,12.231.102.325.146,,1.0,,14891965338580.0,12231102325146.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,28,216.050.269.950,169.155.333.187,,2.0,28.0,216050269950.0,169155333187.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,28,14.675.915.068.630,12.061.946.991.959,,10.0,28.0,14675915068630.0,12061946991959.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,28,12.092.947.132.102,10.478.720.828.281,,11.0,28.0,12092947132102.0,10478720828281.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.582.967.936.528,1.583.226.163.678,,20.0,,2582967936528.0,1583226163678.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,30,518.581.140.617,398.549.539.613,,21.0,30.0,518581140617.0,398549539613.0
7.,7.,7.,Chi phí tài chính,22,31,162.179.086.862,63.595.446.142,,22.0,31.0,162179086862.0,63595446142.0
,,,- Trong đó: Chi phí lãi vay,23,,139.749.373.529,46.491.481.993,,23.0,,139749373529.0,46491481993.0
8.,8.,8.,Chi phí bán hàng,25,32,844.145.156.164,680.555.013.769,,25.0,32.0,844145156164.0,680555013769.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,32,824.061.769.297,626.551.274.343,,26.0,32.0,824061769297.0,626551274343.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.271.163.064.822,611.073.969.037,,30.0,,1271163064822.0,611073969037.0
11.,11.,11.,Thu nhập khác,31,,17.834.484.046,11.519.110.836,,31.0,,17834484046.0,11519110836.0
12.,12.,12.,Chi phí khác,32,,5.748.435.958,7.560.621.237,,32.0,,5748435958.0,7560621237.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,12.086.048.088,3.958.489.599,,40.0,,12086048088.0,3958489599.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.283.249.112.910,615.032.458.636,,50.0,,1283249112910.0,615032458636.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,278.393.633.759,134.907.449.951,,51.0,33.0,278393633759.0,134907449951.0
16.,16.,16.,(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,33,(41.298.840.751),(37.485.202.027),,52.0,33.0,-41298840751.0,-37485202027.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.046.154.319.902,517.610.210.712,,60.0,,1046154319902.0,517610210712.0
