row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.546.954.375.352,2.894.629.361.373,11.374.466.826.463,3914000000000.0,21179913858.0,-2296824120.0,4546954375352.0,2894629361373.0,11374466826463.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,517.610.210.712,517.610.210.712,,,,,517610210712.0,517610210712.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(112.959.000.000),(112.959.000.000),,,,,-112959000000.0,-112959000000.0
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,-,(782.668.520.000),(782.668.520.000),,,,,-782668520000.0,-782668520000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.546.954.375.352,2.516.612.052.085,10.996.449.517.175,3914000000000.0,21179913858.0,-2296824120.0,4546954375352.0,2516612052085.0,10996449517175.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,1.046.154.319.902,1.046.154.319.902,,,,,1046154319902.0,1046154319902.0
Tăng vốn từ quỹ đầu tư phát triển (i),Tăng vốn từ quỹ đầu tư phát triển (i),Tăng vốn từ quỹ đầu tư phát triển (i),2.885.907.610.000,-,-,(2.885.907.610.000),-,-,2885907610000.0,,,-2885907610000.0,,
Trích Quỹ Đầu tư phát triển (ii),Trích Quỹ Đầu tư phát triển (ii),Trích Quỹ Đầu tư phát triển (ii),-,-,-,155.283.063.214,(155.283.063.214),-,,,,155283063214.0,-155283063214.0,
"Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)",-,-,-,-,(120.543.493.665),(120.543.493.665),,,,,-120543493665.0,-120543493665.0
Trả cổ tức bằng tiền (iii),Trả cổ tức bằng tiền (iii),Trả cổ tức bằng tiền (iii),-,-,-,-,(587.001.390.000),(587.001.390.000),,,,,-587001390000.0,-587001390000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.799.907.610.000,21.179.913.858,(2.296.824.120),1.816.329.828.566,2.699.938.425.108,11.335.058.953.412,6799907610000.0,21179913858.0,-2296824120.0,1816329828566.0,2699938425108.0,11335058953412.0
