row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số đầu năm > Dự phòng,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VND Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),90.000.000.000,-,89.100.000.000,90.000.000.000,-,83.700.000.000,90000000000.0,,89100000000.0,90000000000.0,,83700000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),75.000.000.000,-,140.250.000.000,75.000.000.000,-,132.750.000.000,75000000000.0,,140250000000.0,75000000000.0,,132750000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),93.750.000.000,-,99.375.000.000,93.750.000.000,-,92.812.500.000,93750000000.0,,99375000000.0,93750000000.0,,92812500000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Đầu tư vào công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),127.500.000.000,-,96.900.000.000,127.500.000.000,-,107.100.000.000,127500000000.0,,96900000000.0,127500000000.0,,107100000000.0
,,,386.250.000.000,-,425.625.000.000,386.250.000.000,-,416.362.500.000,386250000000.0,,425625000000.0,386250000000.0,,416362500000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Đầu tư vào công ty liên kết > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),(ii),100.000.000.000,(100.000.000.000),(ii),100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,Đầu tư vào công ty liên kết > Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa dầu và Xơ sợi Việt Nam,562.700.000.000,(562.700.000.000),(ii),562.700.000.000,(562.700.000.000),(ii),562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Đầu tư vào công ty liên kết > Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),18.203.000.000,-,22.753.750.000,18.203.000.000,-,24.574.050.000,18203000000.0,,22753750000.0,18203000000.0,,24574050000.0
,,,680.903.000.000,(662.700.000.000),22.753.750.000,680.903.000.000,(662.700.000.000),24.574.050.000,680903000000.0,-662700000000.0,22753750000.0,680903000000.0,-662700000000.0,24574050000.0
Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,Đầu tư vào công cụ vốn của đơn vị khác,,,,,,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Đầu tư vào công cụ vốn của đơn vị khác > Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,(ii),3.600.000.000,-,(ii),3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Đầu tư vào công cụ vốn của đơn vị khác > Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(16.902.000.000),(ii),16.902.000.000,(16.902.000.000),(ii),16902000000.0,-16902000000.0,,16902000000.0,-16902000000.0,
,,,20.502.000.000,(16.902.000.000),,20.502.000.000,(16.902.000.000),,20502000000.0,-16902000000.0,,20502000000.0,-16902000000.0,
